Mapping Rule ID,QBC Tag,QBC 中文名稱,Source specification,Source SHA-256,Source condition,Source cardinality,Source datatype,Current bridge input,Target source evidence,Canonical fact,Projection role,Target Resource,Target Element,Target datatype,Target cardinality,Target profile canonical,Target profile version,Semantic alignment canonical,Semantic alignment version,Terminology/ConceptMap,Map relationship,Transform rule,Null handling,Repeat handling,Information-loss policy,Round-trip policy,Technical status,Approval gates,Release status
QBC-MAP-P09,P09,收案日期,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,true,1..1,date,癌症診療計畫書／病人、醫師或個管主檔,"patient/master data, clinical assessment or encounter source",Patient / EpisodeOfCare / Condition / Observation,derived projection to QBC; plan and QBC are not source-of-truth facts,EpisodeOfCare,EpisodeOfCare.period.start,dateTime,0..1,http://hl7.org/fhir/StructureDefinition/EpisodeOfCare,4.0.1,,,FHIR date/dateTime; YYYYMMDD → YYYY-MM-DD; timezone not inferred,equivalent,parse YYYYMMDD as FHIR date/dateTime; reject invalid calendar dates,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,none,technically-ready
QBC-MAP-D001,D001,(新輔助) 最初診斷日期,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,source value exists,0..1,date,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,"pathology, imaging or signed clinical DiagnosticReport",diagnosis or treatment-related clinical fact,derived projection to QBC; plan and QBC are not source-of-truth facts,Condition,Condition.onsetDateTime,dateTime,0..1,https://twcore.mohw.gov.tw/ig/twcore/StructureDefinition/Condition-twcore,1.0.0,http://hl7.org/fhir/us/mcode/StructureDefinition/mcode-primary-cancer-condition,4.0.0,FHIR date/dateTime; YYYYMMDD → YYYY-MM-DD; timezone not inferred,equivalent,parse YYYYMMDD as FHIR date/dateTime; reject invalid calendar dates,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,FHIR-MCODE-SCOPE,ready-for-human-review
QBC-MAP-D002,D002,(新輔助) 最初診斷院所,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,source value exists,0..1,code,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,"pathology, imaging or signed clinical DiagnosticReport",diagnosis or treatment-related clinical fact,derived projection to QBC; plan and QBC are not source-of-truth facts,Encounter,Encounter.extension[qbc-diagnosis-facility-class],CodeableConcept,0..1,https://twcore.mohw.gov.tw/ig/twcore/StructureDefinition/Encounter-twcore,1.0.0,,,QBC field-specific ValueSet or source terminology; copy or field-specific ConceptMap; raw QBC value retained in Provenance,equivalent,validate against QBC field ValueSet; translate when ConceptMap exists; preserve raw code,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossy unless actual Organization is also supplied; 1/2 only records same/other facility,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,FHIR-EXTENSIONS,ready-for-human-review
QBC-MAP-D003,D003,(新輔助) 組織學分類,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,source value exists,0..1,code,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,pathology/laboratory DiagnosticReport + Observation + Specimen,pathology finding / tumor marker / specimen-linked observation,derived projection to QBC; plan and QBC are not source-of-truth facts,Condition,Condition.extension[histologyMorphologyBehavior],CodeableConcept,0..1,https://twcore.mohw.gov.tw/ig/twcore/StructureDefinition/Condition-twcore,1.0.0,http://hl7.org/fhir/us/mcode/StructureDefinition/mcode-primary-cancer-condition,4.0.0,QBC field-specific ValueSet or source terminology; copy or field-specific ConceptMap; raw QBC value retained in Provenance,equivalent,validate against QBC field ValueSet; translate when ConceptMap exists; preserve raw code,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,FHIR-MCODE-SCOPE,ready-for-human-review
QBC-MAP-D004,D004,(新輔助) 腫瘤組織分級,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,source value exists,0..1,code,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,pathology/laboratory DiagnosticReport + Observation + Specimen,pathology finding / tumor marker / specimen-linked observation,derived projection to QBC; plan and QBC are not source-of-truth facts,Observation,Observation.valueCodeableConcept,CodeableConcept,0..1,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-data-item-observation,1.0.0-preview.1,,,QBC field-specific ValueSet or source terminology; copy or field-specific ConceptMap; raw QBC value retained in Provenance,equivalent,validate against QBC field ValueSet; translate when ConceptMap exists; preserve raw code,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,none,technically-ready
QBC-MAP-D005,D005,(新輔助) 臨床期別 T,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,source value exists,0..1,code,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,"imaging, pathology and clinical staging evidence",TNM/stage or metastatic disease fact,derived projection to QBC; plan and QBC are not source-of-truth facts,Observation,Observation.valueCodeableConcept,CodeableConcept,0..1,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-data-item-observation,1.0.0-preview.1,http://hl7.org/fhir/us/mcode/StructureDefinition/mcode-tnm-primary-tumor-category,4.0.0,AJCC TNM/Stage (edition required); QBC coarsens TNM; preserve original code and AJCC edition,narrower,validate against QBC field ValueSet; translate when ConceptMap exists; preserve raw code,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,potentially lossy toward mCODE/AJCC granularity; retain exact QBC stage and edition,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,GOV-AJCC; FHIR-MCODE-SCOPE,ready-for-human-review
QBC-MAP-D006,D006,(新輔助) 臨床期別 N,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,source value exists,0..1,code,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,"imaging, pathology and clinical staging evidence",TNM/stage or metastatic disease fact,derived projection to QBC; plan and QBC are not source-of-truth facts,Observation,Observation.valueCodeableConcept,CodeableConcept,0..1,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-data-item-observation,1.0.0-preview.1,http://hl7.org/fhir/us/mcode/StructureDefinition/mcode-tnm-regional-nodes-category,4.0.0,AJCC TNM/Stage (edition required); QBC coarsens TNM; preserve original code and AJCC edition,narrower,validate against QBC field ValueSet; translate when ConceptMap exists; preserve raw code,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,potentially lossy toward mCODE/AJCC granularity; retain exact QBC stage and edition,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,GOV-AJCC; FHIR-MCODE-SCOPE,ready-for-human-review
QBC-MAP-D007,D007,(新輔助) 臨床期別 M,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,source value exists,0..1,code,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,"imaging, pathology and clinical staging evidence",TNM/stage or metastatic disease fact,derived projection to QBC; plan and QBC are not source-of-truth facts,Observation,Observation.valueCodeableConcept,CodeableConcept,0..1,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-data-item-observation,1.0.0-preview.1,http://hl7.org/fhir/us/mcode/StructureDefinition/mcode-tnm-distant-metastases-category,4.0.0,AJCC TNM/Stage (edition required); QBC coarsens TNM; preserve original code and AJCC edition,narrower,validate against QBC field ValueSet; translate when ConceptMap exists; preserve raw code,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,potentially lossy toward mCODE/AJCC granularity; retain exact QBC stage and edition,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,GOV-AJCC; FHIR-MCODE-SCOPE,ready-for-human-review
QBC-MAP-D008,D008,(新輔助) 癌症臨床分期：TNM 計算結果,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,source value exists,0..1,string,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,"imaging, pathology and clinical staging evidence",TNM/stage or metastatic disease fact,derived projection to QBC; plan and QBC are not source-of-truth facts,Observation,Observation.valueCodeableConcept,CodeableConcept,0..1,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-data-item-observation,1.0.0-preview.1,http://hl7.org/fhir/us/mcode/StructureDefinition/mcode-tnm-stage-group,4.0.0,AJCC TNM/Stage (edition required); QBC coarsens TNM; preserve original code and AJCC edition,narrower,copy after Big5/max-length validation; preserve exact source in Provenance,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,potentially lossy toward mCODE/AJCC granularity; retain exact QBC stage and edition,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,GOV-AJCC; FHIR-MCODE-SCOPE,ready-for-human-review
QBC-MAP-D009,D009,(新輔助) 遠端轉移部位,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,source value exists,0..1,code-list (comma-separated repeating codes),癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,"imaging, pathology and clinical staging evidence",TNM/stage or metastatic disease fact,derived projection to QBC; plan and QBC are not source-of-truth facts,Condition,Condition.bodySite,CodeableConcept,0..*,https://twcore.mohw.gov.tw/ig/twcore/StructureDefinition/Condition-twcore,1.0.0,http://hl7.org/fhir/us/mcode/StructureDefinition/mcode-secondary-cancer-condition,4.0.0,QBC field-specific ValueSet or source terminology; copy or field-specific ConceptMap; raw QBC value retained in Provenance,equivalent,split on ASCII comma; trim; de-duplicate; preserve source order,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,FHIR-MCODE-SCOPE,ready-for-human-review
QBC-MAP-D010,D010,(新輔助) 遠端轉移部位：其他,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,source value exists,0..1,string,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,"imaging, pathology and clinical staging evidence",TNM/stage or metastatic disease fact,derived projection to QBC; plan and QBC are not source-of-truth facts,Condition,Condition.bodySite.text,string,0..1,https://twcore.mohw.gov.tw/ig/twcore/StructureDefinition/Condition-twcore,1.0.0,http://hl7.org/fhir/us/mcode/StructureDefinition/mcode-secondary-cancer-condition,4.0.0,QBC field-specific ValueSet or source terminology; copy or field-specific ConceptMap; raw QBC value retained in Provenance,equivalent,copy after Big5/max-length validation; preserve exact source in Provenance,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,FHIR-MCODE-SCOPE,ready-for-human-review
QBC-MAP-D011,D011,(新輔助) 術前腋下淋巴檢驗：未檢驗,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,source value exists,0..1,code,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,pathology/laboratory DiagnosticReport + Observation + Specimen,pathology finding / tumor marker / specimen-linked observation,derived projection to QBC; plan and QBC are not source-of-truth facts,Observation,Observation.valueCodeableConcept,CodeableConcept,0..1,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-data-item-observation,1.0.0-preview.1,,,QBC field-specific ValueSet or source terminology; copy or field-specific ConceptMap; raw QBC value retained in Provenance,equivalent,validate against QBC field ValueSet; translate when ConceptMap exists; preserve raw code,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,none,technically-ready
QBC-MAP-D012,D012,(新輔助) 術前腋下淋巴檢驗：檢驗方式,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,source value exists,0..1,code,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,"pathology, imaging or signed clinical DiagnosticReport",diagnosis or treatment-related clinical fact,derived projection to QBC; plan and QBC are not source-of-truth facts,Procedure,Procedure.code,CodeableConcept,1..1,https://twcore.mohw.gov.tw/ig/twcore/StructureDefinition/Procedure-twcore,1.0.0,,,QBC field-specific ValueSet or source terminology; copy or field-specific ConceptMap; raw QBC value retained in Provenance,equivalent,validate against QBC field ValueSet; translate when ConceptMap exists; preserve raw code,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,none,technically-ready
QBC-MAP-D013,D013,(新輔助) 術前腋下淋巴檢驗：檢驗結果,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,source value exists,0..1,code,癌症診療計畫書 JSON（過渡期 secondary source；非 Care Plan Task 輸出）,pathology/laboratory DiagnosticReport + Observation + Specimen,pathology finding / tumor marker / specimen-linked observation,derived projection to QBC; plan and QBC are not source-of-truth facts,Observation,Observation.valueCodeableConcept,CodeableConcept,0..1,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-data-item-observation,1.0.0-preview.1,,,QBC field-specific ValueSet or source terminology; copy or field-specific ConceptMap; raw QBC value retained in Provenance,equivalent,validate against QBC field ValueSet; translate when ConceptMap exists; preserve raw code,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,none,technically-ready
