mapping_id,common_concept,source_profile_or_resource,target_path,candidate_terminology,terminology_status,used_by_indicator_family,used_by_measure,worksheet_column_quality,worksheet_column_quarterly,projection_rule,gap_if_absent,legacy_ids,review_status
CM-BC-011,HER2 in situ hybridisation result,BreastCancerTumorMarkerObservation,Observation.valueCodeableConcept,LOINC HER2 by FISH,candidate-unverified,both,bc-qi-04; bc-qr-18,-,,resolve an IHC 2+ result for both the quality indicator and quarterly subtype,indicator 4 and quarterly HR/HER2 subtype cannot be calculated,QI-BC-011,blocking-data-gap
CM-BC-012,Ki-67 proliferation index,BreastCancerTumorMarkerObservation,Observation.valueQuantity{%},LOINC Ki-67 index,candidate-unverified,quality,none-directly,-,,not used by any measure directly; separates Luminal A from Luminal B,molecular subtype cannot be derived,QI-BC-012,design
CM-BC-013,molecular subtype,derived,derived from CM-BC-008 CM-BC-009 CM-BC-010 CM-BC-011 CM-BC-012,,n/a,quality,bc-qi-04,分類,,A / B1 / B2 / H / T is a derived classification. Derive it in the task layer from the marker observations; do not store the letter as a shared clinical fact,indicator 4 keeps using a hand-entered letter with no audit trail,QI-BC-013,design
CM-BC-014,breast surgery performed,BreastCancerTreatmentProcedure,Procedure.status|Procedure.code,SNOMED CT breast surgery,candidate-unverified,quality,"bc-qi-02, bc-qi-03, bc-qi-04, bc-qi-05, bc-qi-06",手術,,presence of a completed breast cancer surgery,all surgery-based denominators fail,QI-BC-014,design
CM-BC-015,breast surgery type,BreastCancerTreatmentProcedure,Procedure.code,"SNOMED CT: partial mastectomy (BCT), simple mastectomy, modified radical mastectomy, nipple-sparing mastectomy",candidate-unverified,quality,"bc-qi-03, bc-qi-06",MRM / BCT / SM,,one coded Procedure replaces the five boolean columns; a bilateral case yields two Procedures with different laterality,indicators 3 and 6 cannot identify the operation,QI-BC-015,design
CM-BC-016,axillary surgery type,BreastCancerTreatmentProcedure,Procedure.code,"SNOMED CT: sentinel lymph node biopsy, axillary lymph node dissection",candidate-unverified,quality,bc-qi-02,SLNB / ALND,,indicator 2 numerator is the presence of a sentinel node biopsy,indicator 2 numerator cannot be evaluated,QI-BC-016,design
CM-BC-017,breast surgery date,BreastCancerTreatmentProcedure,Procedure.performedDateTime|Procedure.performedPeriod.start,,n/a,quality,"bc-qi-02, bc-qi-05",手術日期 (not in worksheet),,the date the worksheet never carried. Removes the proxies in measures 2 and 5,measures 2 and 5 keep their proxy criteria,QI-BC-017,blocking-data-gap
CM-BC-018,diagnostic core needle biopsy,BreastCancerTreatmentProcedure,Procedure.code|Procedure.performedDateTime,SNOMED CT core needle biopsy of breast,candidate-unverified,quality,bc-qi-05,CB,,"indicator 5 numerator requires histological confirmation at least one day before surgery, so the biopsy date is mandatory, not optional",indicator 5 can only test that a biopsy exists,QI-BC-018,blocking-data-gap
CM-BC-019,pathology report,BreastCancerPathologyReport,DiagnosticReport.effectiveDateTime|DiagnosticReport.conclusionCode,,n/a,quality,bc-qi-05,-,,evidence that the biopsy was reported before the operation; the report date is the defensible one when the procedure date is missing,biopsy-before-surgery cannot be evidenced,QI-BC-019,design
CM-BC-020,hormone therapy,BreastCancerMedicationRequest,MedicationRequest.medicationCodeableConcept|MedicationRequest.authoredOn,"ATC L02: tamoxifen, aromatase inhibitors, LHRH agonists",candidate-unverified,quality,"bc-qi-01, bc-qi-02",賀爾蒙治療,,indicator 1 numerator; the start date also feeds the first-treatment test in indicator 2,indicator 1 numerator cannot be evaluated,QI-BC-020,design
CM-BC-021,cytotoxic chemotherapy,BreastCancerMedicationRequest,MedicationRequest.medicationCodeableConcept|MedicationRequest.authoredOn,ATC L01 cytotoxic agents,candidate-unverified,quality,bc-qi-02,抗癌治療,,the start date decides whether surgery was the first treatment; the worksheet only records a category code (0/1/2/3/4),indicator 2 keeps the neoadjuvant-category proxy,QI-BC-021,blocking-data-gap
CM-BC-022,anti-HER2 targeted therapy,BreastCancerMedicationRequest,MedicationRequest.medicationCodeableConcept|MedicationRequest.authoredOn,"trastuzumab, pertuzumab, T-DM1, trastuzumab deruxtecan",candidate-unverified,quality,"bc-qi-02, bc-qi-04",anti HER 2藥物治療,,indicator 4 numerator covers both neoadjuvant and adjuvant administration,indicator 4 numerator cannot be evaluated,QI-BC-022,design
CM-BC-023,radiotherapy course,BreastCancerTreatmentProcedure,Procedure.status|Procedure.code|Procedure.performedPeriod,SNOMED CT teleradiotherapy,candidate-unverified,quality,"bc-qi-03, bc-qi-06",放射線治療,,presence of a completed course,indicators 3 and 6 numerators cannot be evaluated,QI-BC-023,design
CM-BC-024,radiotherapy delivered dose,new profile candidate,RadiotherapyCourseSummary.totalDoseDelivered{cGy},mCODE RadiotherapyCourseSummary,candidate-unverified,quality,bc-qi-03,-,,indicator 3 requires at least 4000 cGy to the clinical target volume; no profile in this IG carries dose yet,indicator 3 numerator ignores the dose threshold entirely,QI-BC-024,blocking-data-gap
CM-BC-025,treatment performing organisation,"BreastCancerTreatmentProcedure, BreastCancerMedicationRequest",Procedure.performer.actor|Procedure.location|MedicationRequest.performer,,n/a,quality,"bc-qi-01, bc-qi-05, bc-qi-06",annotations such as 1(總院) 1(外院),,"the worksheet encodes the performing site inside the value string. Modelling it as a reference removes five of this quarter's manual numerator add-backs, all of which read 總院RT",numerator add-backs stay manual and indicator 6 stays understated,QI-BC-025,blocking-data-gap
CM-BC-030,patient administrative sex,BreastCancerPatient,Patient.gender,,n/a,quarterly,bc-qr-14,,性別,take the administrative gender recorded on the patient; the report counts 男/女 only and has no other category today,sex distribution cannot be reported,QR-BC-001,design
CM-BC-031,case closure,BreastCancerEpisodeOfCare,EpisodeOfCare.period.end|EpisodeOfCare.status,,n/a,quarterly,bc-qr-12 bc-qr-13,,結案日期 / 收案狀態,closure date and episode status; 結案原因 itself is task-only because 轉院/拒絕返診/病危AAD are case-management dispositions,closed-case counts cannot be reported,QR-BC-004,design
CM-BC-032,histology type,BreastCancerPrimaryCondition,Condition.extension[histology]|Observation,ICD-O-3 morphology,candidate-unverified,quarterly,bc-qr-17; bc-qr-18,,電訪頻率-標題,"coded morphology. Source documentation says 27 spellings map to 11 groups, but S17-HISTOLOGY currently enumerates only 10; the report owner must identify the missing/extra group before release. The same morphology defines the invasive cohort for HR/HER2 subtype.",histology distribution needs a hand-maintained spelling dictionary and the documented group count disagrees with the current criteria,QR-BC-006,blocking-data-gap
CM-BC-033,staging not yet complete,BreastCancerStageGroupObservation,Observation.dataAbsentReason,http://terminology.hl7.org/CodeSystem/data-absent-reason#temp-unknown,candidate-unverified,quarterly,bc-qr-16 bc-qr-01,,分期 = ?,"a case still being staged is a stated absent reason, not an empty cell; this single fact removes the largest manual step in the current implementation",staging-in-progress cases must be adjudicated case by case from free text,QR-BC-009,design
CM-BC-034,care transferred to another facility,BreastCancerEpisodeOfCare,EpisodeOfCare.managingOrganization|Organization.partOf,,n/a,quarterly,bc-qr-01 bc-qr-02,,轉院醫院 / 轉院醫院類別 / 轉院分院,"reference the receiving Organization; whether it is inside the NTUH system is answered by Organization.partOf, not by string matching a hospital name",the in-system correction rate relies on a hand-maintained hospital name list,QR-BC-010,design
CM-BC-035,curative-intent treatment in progress,Procedure|MedicationRequest|RadiotherapyCourseSummary,Procedure.status|MedicationRequest.status,,n/a,quarterly,bc-qr-03,,可治癒性治療細目,"whether curative treatment has started, finished, or stopped is derivable from the treatment resources; the reason it stopped stays task-only",treatment-stage exclusions are entirely manual,QR-BC-012,design
CM-BC-036,death,BreastCancerPatient,Patient.deceasedDateTime,,n/a,quarterly,bc-qr-12 bc-qr-13 bc-qr-04,,死亡 / 診斷中死亡 / 治療中死亡 / 完治後死亡,"one death fact; which bucket it lands in is decided by comparing the death date with the treatment timeline, not by four separate flags",the four death buckets stay four independent manual flags,QR-BC-013,design
CM-BC-037,last contact with the care team,Encounter|EpisodeOfCare,Encounter.period.end,,n/a,quarterly,bc-qr-04,,最近訪視日期 / 訪視次數,latest contact of any kind; the loss-to-follow-up rate counts from this date,loss-to-follow-up cannot be computed and stays a manual figure,QR-BC-014,design
CM-BC-038,prior-year new diagnosis cohort,BreastCancerEpisodeOfCare,EpisodeOfCare.period.start,,n/a,quarterly,bc-qr-04,,2025新診斷 / 2025死亡,the loss-to-follow-up denominator spans the prior year plus the current period; a single-period export cannot supply it,the loss-to-follow-up denominator must be typed in by hand,QR-BC-015,blocking-data-gap
