measure_id,indicator_family,population_type,criterion_id,variant,criterion_zh,fhir_expression,depends_on_mapping,current_proxy,proxy_removed_by_fhir,cql_status,python_status,review_status,python_divergence
bc-qi-04,quality,denominator,D4-NODE,both,病理 N >= 1(含 N1mi),pathological N category N1 or higher,CM-BC-006,none,no,drafted,implemented,design,
bc-qi-04,quality,denominator-exclusion,X4-STAGE4,both,排除轉移性乳癌(臨床或病理期別 IV),stage group observation equals IV,CM-BC-004 CM-BC-005,none,no,drafted,implemented,design,
bc-qi-04,quality,numerator,N4-ANTIHER2,both,分母中手術前或手術後給予輔助性 anti HER2 藥物治療者,MedicationRequest for anti-HER2 therapy exists,CM-BC-022,none,no,drafted,implemented,design,
bc-qi-05,quality,denominator,D5-SURGERY,both,經過治療手術(全乳房切除或保留乳房手術含腋下淋巴結切除)治療乳癌者,completed breast surgery Procedure exists,CM-BC-014,none,no,drafted,implemented,design,
bc-qi-05,quality,denominator,D5-STAGE,both,臨床或病理期別 I-III,either stage group observation in I-III,CM-BC-004 CM-BC-005,none,no,drafted,implemented,design,
bc-qi-05,quality,denominator-exclusion,X5-INSITU-STAGE4,both,排除原位癌及轉移性乳癌,stage group observation equals 0 or IV,CM-BC-004 CM-BC-005,none,no,drafted,not-implemented,design,94/94 -> 92/92
bc-qi-05,quality,denominator-exclusion,X5-TEAM,both,團隊決議排除(前次年度診斷、他院手術等),task-only exclusion register,CM-TASK-010,none,no,not-applicable,task-layer,design,
bc-qi-05,quality,numerator,N5-BIOPSY-BEFORE,both,分母中手術進行至少前一天曾經組織學確診者,biopsy Procedure.performedDateTime or pathology DiagnosticReport.effectiveDateTime at least one day before Procedure.performedDateTime of the surgery,CM-BC-017 CM-BC-018 CM-BC-019,no biopsy or surgery dates exist; approximated by the presence of a core needle biopsy flag,yes,drafted,implemented,proxy-in-use,
bc-qi-05,quality,numerator,N5-ADH-RULE,both,術前切片為 ADH 並進行診斷性手術，術後加做 SLNB 者仍為符合個案(2024/11/07 第43次會議、2025/06/05 癌委會),biopsy conclusionCode indicates atypical ductal hyperplasia and an axillary staging Procedure follows,CM-BC-016 CM-BC-019,applied case by case as a manual numerator add-back; five cases in 2026Q1,partly,drafted,manual-override,design,
bc-qi-06,quality,denominator,D6-SURGERY-BCT,both,接受乳房保留手術者,Procedure with breast conserving surgery code exists,CM-BC-014 CM-BC-015,none,no,drafted,implemented,design,
bc-qi-06,quality,denominator,D6-INVASIVE,both,病理分期為侵犯性乳癌,pathological stage group observation is not 0 and pT category is not Tis,CM-BC-005 CM-BC-007,27 of 158 rows record 病理期別 as 不適用 including post-neoadjuvant cases whose ypStage does exist,yes,drafted,divergent,blocking-data-gap,14/15 -> 10/11
bc-qi-06,quality,denominator-exclusion,X6-STAGE4,both,排除轉移性乳癌(stage IV),stage group observation equals IV,CM-BC-004 CM-BC-005,none,no,drafted,implemented,design,
bc-qi-06,quality,denominator-exclusion,X6-AGE-NODE-DEF,definition,排除年齡 >= 70 且病理 N0 者(定義原文的 AND 條件),age at case entry >= 70 and pathological N category is N0,CM-BC-001 CM-BC-006,none,no,drafted,implemented,open-question,
bc-qi-06,quality,denominator-exclusion,X6-AGE-PRACTICE,practice,排除所有年齡 >= 70 者(歷年實作),age at case entry >= 70,CM-BC-001,歷年實作把年齡與淋巴結兩個排除條件拆成獨立條件，與定義原文的 AND 不同,no,drafted,implemented,open-question,
bc-qi-06,quality,denominator-exclusion,X6-NODE-PRACTICE,practice,排除所有病理 N0 者(歷年實作),pathological N category is N0,CM-BC-006,同上；2026Q1 因此少了 30 例分母,no,drafted,implemented,open-question,
bc-qi-06,quality,numerator,N6-RT,both,分母中術後接受放射線治療者,completed radiotherapy Procedure exists after the surgery date,CM-BC-017 CM-BC-023,the radiotherapy flag records this hospital only; five cases were added back by hand with the reason 總院RT,yes,drafted,implemented,blocking-data-gap,
bc-qr-00,quarterly,initial-population,IP-CASELOAD,both,報告期間內該個管師的全部收案,EpisodeOfCare.period.start within the reporting period and EpisodeOfCare.careManager = the reporting case manager,CM-BC-002,none,no,drafted,implemented,design,
bc-qr-00,quarterly,initial-population,IP-NEWDX,both,收案身份為新診斷,task-only case entry category,CM-TASK-002,none,no,drafted,implemented,design,
bc-qr-01,quarterly,denominator,D1-BASE,both,新診斷個案量,IP-NEWDX,CM-TASK-002,none,no,drafted,implemented,design,
bc-qr-01,quarterly,denominator-exclusion,X1-STAGING,both,分期檢查中(診斷中),Observation.dataAbsentReason = temp-unknown on the stage group observation,CM-BC-033,"是否留院治療 = 不列入分母 and 留院治療不列入分母原因 = 分期檢查中, plus manual adjudication of cases whose 分期 is ? but who are already in treatment",yes,drafted,implemented,design,
bc-qr-01,quarterly,denominator-exclusion,X1-STAGING-DEATH,both,診斷中死亡,Patient.deceasedDateTime before any curative treatment resource,CM-BC-036 CM-BC-035,task-only 不列入分母原因 = 診斷中死亡,partial,drafted,implemented,design,
bc-qr-01,quarterly,denominator-exclusion,X1-CONSIDERING,both,考慮治療且回診間隔 < 1 個月(規則或拒絕),task-only disposition,CM-TASK-005,none,no,drafted,implemented,design,
bc-qr-01,quarterly,numerator,N1-STAY,both,留院治療人數,denominator minus every case whose care moved elsewhere before treatment started,CM-BC-034 CM-TASK-004,是否留院治療 = 是,partial,drafted,implemented,design,
bc-qr-01,quarterly,numerator-exclusion,X1-NOSTAY-TRANSFER,both,診斷中轉院,EpisodeOfCare.status = entered-in-error/finished with a receiving Organization and no local treatment resource,CM-BC-034 CM-BC-035,不留院治療原因 = 診斷中轉院,yes,drafted,implemented,design,
bc-qr-01,quarterly,numerator-exclusion,X1-NOSTAY-REFUSE,both,完全不治療且未回診 / 未接受治療且回診間隔 > 1 個月,task-only disposition,CM-TASK-004,none,no,drafted,implemented,design,
bc-qr-02,quarterly,denominator,D2-BASE,both,同 bc-qr-01 分母,D1-BASE minus X1-*,CM-TASK-002,none,no,drafted,implemented,design,
bc-qr-02,quarterly,numerator,N2-STAY-INSYS,both,留院治療人數加計轉臺大體系內醫院者,N1-STAY plus cases whose receiving Organization is inside the NTUH system,CM-BC-034,轉院醫院 string matched against a hospital keyword list (NTUH/臺大/總院/各分院/生醫/癌醫),yes,drafted,implemented,design,
bc-qr-03,quarterly,denominator,D3-BASE,both,留院且醫師建議應接受治癒性治療之新診斷個案量,D1-BASE minus every treatment-stage exclusion below,CM-TASK-002,none,no,drafted,implemented,design,
bc-qr-03,quarterly,denominator-exclusion,X3-STAGING,both,診斷中 / 診斷中死亡 / 診斷中轉院,reuse X1-STAGING X1-STAGING-DEATH X1-NOSTAY-TRANSFER,CM-BC-033 CM-BC-034 CM-BC-036,see bc-qr-01,partial,drafted,implemented,design,
bc-qr-03,quarterly,denominator-exclusion,X3-ONGOING,both,接受治癒性治療中,curative-intent treatment resources exist and none has reached completed,CM-BC-035,可治癒性治療細目 = 接受治癒性治療中,yes,drafted,implemented,design,
bc-qr-03,quarterly,denominator-exclusion,X3-TX-EVENT,both,治療中死亡 / 治療中轉院 / 醫師建議停止治療 / 特殊狀況不建議治癒性治療 / 積極監測,task-only disposition with a supporting clinical resource where one exists,CM-TASK-006 CM-BC-036,可治癒性治療細目,partial,drafted,implemented,design,
bc-qr-03,quarterly,denominator-exclusion,X3-NONCURATIVE,both,不可治癒性治療,treatment intent is palliative on every treatment resource,CM-BC-035,不列入分母原因 = 不可治癒性治療,partial,drafted,implemented,design,
bc-qr-03,quarterly,numerator,N3-COMPLETE,both,留院完成治療 + 完治後死亡 + 完治後轉院,every planned curative treatment resource has reached completed,CM-BC-035 CM-BC-036,完成原因,partial,drafted,implemented,design,
bc-qr-03,quarterly,numerator-exclusion,X3-INCOMPLETE,both,未完成治療(拒絕部分治療或中斷治療),task-only disposition,CM-TASK-007,未完成治療原因 non-empty,no,drafted,implemented,design,
bc-qr-04,quarterly,denominator,D4-COHORT,both,前一年度加本期新診斷個案扣除死亡,IP-NEWDX over the prior year and the current period minus Patient.deceasedDateTime,CM-BC-038 CM-BC-036,typed in by hand; a single-period export cannot supply the prior-year cohort,yes,drafted,not-implemented,blocking-data-gap,
bc-qr-04,quarterly,numerator,N4-LOST,both,自最後一次與醫療團隊聯繫日起滿一年未再聯繫,reporting period end minus Encounter.period.end >= 1 year,CM-BC-037,none; the figure is typed in,yes,drafted,not-implemented,blocking-data-gap,
bc-qr-05,quarterly,denominator,D5-QUIT,both,期間內拒絕及中斷治療個案數,EpisodeOfCare or treatment resources showing refusal or interruption,CM-TASK-007,收案狀態 = 拒絕與中斷,partial,drafted,implemented,design,
bc-qr-05,quarterly,numerator,N5-RETURN,both,期間內有重返治療個案數,a new curative-intent treatment resource starting after the interruption,CM-BC-035,none; adjudicated by the case manager,yes,drafted,not-implemented,design,
bc-qr-10,quarterly,stratifier,S10-IDENTITY,both,收案身份(新診斷/舊案/延遲收案-當年度/延遲收案-非當年度/首復發可治癒/首復發不可治癒),task-only case entry category,CM-TASK-002,none,no,drafted,implemented,design,
bc-qr-11,quarterly,stratifier,S11-MONTH,both,收案月份,month of EpisodeOfCare.period.start,CM-BC-002,none,no,drafted,implemented,design,
bc-qr-12,quarterly,stratifier,S12-DYNAMIC,both,收案狀態(診斷期/治療期/臨床試驗/追蹤期/緩和醫療/拒絕與中斷/結案),staging-in-progress evidence overrides the Task status to diagnosis; otherwise use the task-only case status,CM-TASK-003 CM-BC-033,a case still being staged is recorded as 治療期 by the system and is moved to 診斷期 by hand,partial,drafted,implemented,design,
bc-qr-13,quarterly,stratifier,S13-CLOSURE,both,結案原因(死亡/轉院/拒絕返診/病危AAD),task-only disposition supported by EpisodeOfCare.status and Patient.deceasedDateTime,CM-BC-031 CM-BC-036,none,partial,drafted,implemented,design,
bc-qr-14,quarterly,stratifier,S14-SEX,both,性別,Patient.gender,CM-BC-030,none,no,drafted,implemented,design,
bc-qr-14,quarterly,stratifier,S14-AGEBAND,both,年齡層(<10 / 10-19 ... 80-89 / >=90),age at EpisodeOfCare.period.start banded by decade,CM-BC-001 CM-BC-002,the export carries a precomputed band code; the report trusts it rather than the birth date,yes,drafted,implemented,design,
bc-qr-15,quarterly,stratifier,S15-CLASS,both,Class 分類(0/1/2/診斷中),task-only cohort label; cases still being staged report as 診斷中 regardless of the recorded class,CM-TASK-001 CM-BC-033,none,no,drafted,implemented,design,
bc-qr-15,quarterly,stratifier,S15-CLASS3,both,Class 3 個案數(表外附註),task-only cohort label,CM-TASK-001,class 3 is not recorded in the class column at all; it is written into the subtype free-text field and recovered by string matching,yes,drafted,implemented,design,
bc-qr-16,quarterly,stratifier,S16-STAGE,both,分期(Stage 0/I/II/III/IV/診斷中/其它),stage group observation; staging-in-progress reports as 診斷中; transferred-during-staging and insufficient-outside-records report as 其它,CM-BC-004 CM-BC-005 CM-BC-033 CM-BC-034,stage is a single free-text column; 24 of 201 cases resolve only after a case manager reads the clinical narrative,yes,drafted,implemented,design,
bc-qr-17,quarterly,stratifier,S17-HISTOLOGY,both,組織類型(IC/ILC/IC+ILC/IC with mucin/IC & Paget/IC with neuroendocrine/metaplastic/adenoid cystic/DCIS/phyllodes),grouped from coded morphology; DCIS with microinvasion groups with invasive carcinoma,CM-BC-032,free-text histology with 27 spellings normalised by an ordered regex table,yes,drafted,implemented,design,
bc-qr-18,quarterly,stratifier,S18-SUBTYPE,both,HR/HER2 分型(HR+HER2- / HR+HER2+ / HR-HER2+ / HR-HER2- / 無法判斷),derived from the four marker observations,CM-BC-008,a hand-typed letter A/B1/B2/H/T; + and - in the same column mean the ER status of an in-situ case and must be excluded from the invasive denominator,yes,drafted,implemented,design,
