artifact_id,artifact_name,artifact_kind,scope_claim_id,expected_type,expected_kind,expected_base_definition,evidence_mode,example_resource_id,technical_status,clinical_review_status,required_reviewer,review_requirement,decision,signer_name,signer_organization_title,decision_date,evidence_uri_path,signed_artifact_sha256,notes
breast-cancer-primary-condition,BreastCancerPrimaryCondition,profile,IG-CORE,Condition,resource,http://hl7.org/fhir/StructureDefinition/Condition,direct-profile,breast-cancer-primary-condition-example,pass-publisher-synthetic-example,pending-human-signoff,breast oncology and terminology reviewer,Confirm diagnosis code body site onset verification and subject semantics.,,,,,,,
breast-cancer-source-diagnostic-report,BreastCancerSourceDiagnosticReport,profile,IG-CORE,DiagnosticReport,resource,http://hl7.org/fhir/StructureDefinition/DiagnosticReport,derived-profile,breast-cancer-pathology-report-example,pass-publisher-synthetic-example,pending-human-signoff,FHIR architecture reviewer,Confirm reusable source-report constraints are valid for every derived report.,,,,,,,
breast-cancer-source-observation,BreastCancerSourceObservation,profile,IG-CORE,Observation,resource,http://hl7.org/fhir/StructureDefinition/Observation,derived-profile,breast-cancer-stage-group-example,pass-publisher-synthetic-example,pending-human-signoff,FHIR architecture reviewer,Confirm reusable source-observation constraints provenance paths and derived-profile compatibility.,,,,,,,
breast-cancer-source-specimen,BreastCancerSourceSpecimen,profile,IG-CORE,Specimen,resource,http://hl7.org/fhir/StructureDefinition/Specimen,derived-profile,breast-cancer-pathology-specimen-example,pass-publisher-synthetic-example,pending-human-signoff,FHIR architecture reviewer,Confirm reusable source-specimen constraints and derived-profile compatibility.,,,,,,,
breast-cancer-stage-group-observation,BreastCancerStageGroupObservation,profile,IG-CORE,Observation,resource,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-source-observation,direct-profile,breast-cancer-stage-group-example,pass-publisher-synthetic-example,pending-human-signoff,oncology staging and terminology reviewer,Confirm AJCC version method stage group focus and effective-time semantics.,,,,,,,
breast-cancer-treatment-procedure,BreastCancerTreatmentProcedure,profile,IG-CORE,Procedure,resource,http://hl7.org/fhir/StructureDefinition/Procedure,direct-profile,breast-cancer-treatment-procedure-example,pass-publisher-synthetic-example,pending-human-signoff,breast oncology and FHIR reviewer,Confirm treatment code status performed timing body site and subject semantics.,,,,,,,
breast-cancer-tumor-marker-observation,BreastCancerTumorMarkerObservation,profile,IG-CORE,Observation,resource,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-source-observation,direct-profile,breast-cancer-tumor-marker-example,pass-publisher-synthetic-example,pending-human-signoff,pathology terminology and FHIR reviewer,Confirm marker code value type method specimen interpretation and effective time.,,,,,,,
breast-cancer-ultrasound-report,BreastCancerUltrasoundReport,profile,IG-CORE,DiagnosticReport,resource,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-source-diagnostic-report,direct-profile,breast-cancer-ultrasound-report-example,pass-publisher-synthetic-example,pending-human-signoff,radiology and FHIR reviewer,Confirm imaging category result linkage effective time and presented form.,,,,,,,
cancer-care-plan-task-bundle,CancerCarePlanTaskBundle,profile,TASK-CAREPLAN,Bundle,resource,http://hl7.org/fhir/StructureDefinition/Bundle,direct-profile,cancer-care-plan-task-bundle-example,pass-publisher-synthetic-example,pending-human-signoff,care-plan workflow and FHIR reviewer,Confirm five-resource minimum bundle identity timestamp references and provenance closure.,,,,,,,
cancer-care-plan-task-care-plan,CancerCarePlanTaskCarePlan,profile,TASK-CAREPLAN,CarePlan,resource,http://hl7.org/fhir/StructureDefinition/CarePlan,direct-profile,cancer-care-plan-example,pass-publisher-synthetic-example,pending-human-signoff,care-plan clinical and FHIR reviewer,Confirm care-plan lifecycle category subject addresses supportingInfo and activity semantics.,,,,,,,
cancer-care-plan-task-provenance,CancerCarePlanTaskProvenance,profile,TASK-CAREPLAN,Provenance,resource,http://hl7.org/fhir/StructureDefinition/Provenance,direct-profile,cancer-care-plan-provenance-example,pass-publisher-synthetic-example,pending-human-signoff,data governance and FHIR reviewer,Confirm target agent entity role source identity and recorded-time requirements.,,,,,,,
cancer-care-plan-task-questionnaire-response,CancerCarePlanTaskQuestionnaireResponse,profile,TASK-CAREPLAN,QuestionnaireResponse,resource,http://hl7.org/fhir/StructureDefinition/QuestionnaireResponse,direct-profile,cancer-care-plan-response-example,pass-publisher-synthetic-example,pending-human-signoff,care-plan clinical and FHIR reviewer,Confirm subject authored item answer cardinalities and questionnaire contract.,,,,,,,
qbc-case-class,QBCCaseClass,extension,TASK-QBC,Extension,complex-type,http://hl7.org/fhir/StructureDefinition/Extension,extension-use,QBCWorkflowEpisodeExample,pass-publisher-synthetic-example,pending-human-signoff,QBC workflow and terminology reviewer,Confirm P08 context value set and separation from diagnosis type.,,,,,,,
qbc-data-item-observation,QBCDataItemObservation,profile,TASK-QBC,Observation,resource,http://hl7.org/fhir/StructureDefinition/Observation,derived-profile,qbc-raw-data-item-example,pass-publisher-synthetic-example,pending-human-signoff,QBC and FHIR reviewer,Confirm generic field code subject value and raw-preservation contract across derived profiles.,,,,,,,
qbc-date-data-item-observation,QBCDateDataItemObservation,profile,TASK-QBC,Observation,resource,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-data-item-observation,direct-profile,qbc-diagnosis-date-example,pass-publisher-synthetic-example,pending-human-signoff,QBC and FHIR reviewer,Confirm date field code binding precision timezone and missing-value policy.,,,,,,,
qbc-diagnosis-facility-class,QBCDiagnosisFacilityClass,extension,TASK-QBC,Extension,complex-type,http://hl7.org/fhir/StructureDefinition/Extension,extension-use,QBCDiagnosisEncounterExample,pass-publisher-synthetic-example,pending-human-signoff,QBC workflow and terminology reviewer,Confirm Encounter context facility-class meaning and Organization fallback boundary.,,,,,,,
qbc-enrollment-type,QBCEnrollmentType,extension,TASK-QBC,Extension,complex-type,http://hl7.org/fhir/StructureDefinition/Extension,extension-use,QBCWorkflowEpisodeExample,pass-publisher-synthetic-example,pending-human-signoff,QBC workflow and terminology reviewer,Confirm DIAG_TYPE context value set and separation from disease status.,,,,,,,
qbc-followup-status,QBCFollowUpStatus,extension,TASK-QBC,Extension,complex-type,http://hl7.org/fhir/StructureDefinition/Extension,extension-use,QBCWorkflowEpisodeExample,pass-publisher-synthetic-example,pending-human-signoff,QBC workflow and terminology reviewer,Confirm T03 context values lifecycle meaning and non-overload of EpisodeOfCare.status.,,,,,,,
qbc-integer-data-item-observation,QBCIntegerDataItemObservation,profile,TASK-QBC,Observation,resource,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-data-item-observation,direct-profile,qbc-node-count-example,pass-publisher-synthetic-example,pending-human-signoff,QBC and FHIR reviewer,Confirm integer field binding range missing-value and source lexical preservation.,,,,,,,
qbc-patient,QBCPatient,profile,TASK-QBC,Patient,resource,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-patient,direct-profile,qbc-patient-example,pass-publisher-synthetic-example,pending-human-signoff,QBC TW Core and privacy reviewer,Confirm QBC identifier gender birth and submission-minimum semantics.,,,,,,,
qbc-provenance,QBCProvenance,profile,TASK-QBC,Provenance,resource,http://hl7.org/fhir/StructureDefinition/Provenance,direct-profile,qbc-provenance-example,pass-publisher-synthetic-example,pending-human-signoff,QBC data governance and FHIR reviewer,Confirm target scope source entity agent and transformation provenance.,,,,,,,
qbc-quantity-data-item-observation,QBCQuantityDataItemObservation,profile,TASK-QBC,Observation,resource,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-data-item-observation,direct-profile,qbc-body-height-example,pass-publisher-synthetic-example,pending-human-signoff,QBC clinical and FHIR reviewer,Confirm units UCUM conversion precision range and source lexical preservation.,,,,,,,
qbc-raw-data-item-observation,QBCRawDataItemObservation,profile,TASK-QBC,Observation,resource,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-data-item-observation,direct-profile,qbc-raw-data-item-example,pass-publisher-synthetic-example,pending-human-signoff,QBC data governance reviewer,Confirm raw string is reconciliation evidence and not canonical clinical truth.,,,,,,,
qbc-submission-bundle,QBCSubmissionBundle,profile,TASK-QBC,Bundle,resource,https://twcore.mohw.gov.tw/ig/twcore/StructureDefinition/Bundle-twcore,direct-profile,qbc-submission-example,pass-publisher-synthetic-example,pending-human-signoff,QBC TW Core submission and FHIR reviewer,Confirm TW Core parent slices identifiers completeness references and receiver contract.,,,,,,,
qbc-transfer-date,QBCTransferDate,extension,TASK-QBC,Extension,complex-type,http://hl7.org/fhir/StructureDefinition/Extension,extension-use,QBCWorkflowEpisodeExample,pass-publisher-synthetic-example,pending-human-signoff,QBC workflow and FHIR reviewer,Confirm T04 date context precision and separation from episode end or closure date.,,,,,,,
qbc-treatment-facility-class,QBCTreatmentFacilityClass,extension,TASK-QBC,Extension,complex-type,http://hl7.org/fhir/StructureDefinition/Extension,extension-use,QBCTreatmentProcedureExample,pass-publisher-synthetic-example,pending-human-signoff,QBC workflow and terminology reviewer,Confirm treatment facility context values and Organization fallback boundary.,,,,,,,
qbc-treatment-sequence,QBCTreatmentSequence,extension,TASK-QBC,Extension,complex-type,http://hl7.org/fhir/StructureDefinition/Extension,extension-use,QBCTreatmentProcedureExample,pass-publisher-synthetic-example,pending-human-signoff,QBC workflow and FHIR reviewer,Confirm TM01 ordering context positivity repetition and tie policy.,,,,,,,
qbc-treatment-status,QBCTreatmentStatus,extension,TASK-QBC,Extension,complex-type,http://hl7.org/fhir/StructureDefinition/Extension,extension-use,QBCWorkflowEpisodeExample,pass-publisher-synthetic-example,pending-human-signoff,QBC workflow and terminology reviewer,Confirm T02 context values lifecycle meaning and non-overload of EpisodeOfCare.status.,,,,,,,
qbc-treatment-type,QBCTreatmentType,extension,TASK-QBC,Extension,complex-type,http://hl7.org/fhir/StructureDefinition/Extension,extension-use,QBCTreatmentProcedureExample,pass-publisher-synthetic-example,pending-human-signoff,QBC clinical workflow and terminology reviewer,Confirm TM02 context values and relation to detailed clinical intervention codes.,,,,,,,
qbc-tumor-size-observation,QBCTumorSizeObservation,profile,TASK-QBC,Observation,resource,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-quantity-data-item-observation,direct-profile,qbc-tumor-size-example,pass-publisher-synthetic-example,pending-human-signoff,QBC pathology and FHIR reviewer,Confirm tumor-size field identity UCUM unit precision and pathological context.,,,,,,,
tcr-coded-data-item-observation,TCRCodedDataItemObservation,profile,TASK-TCR,Observation,resource,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/tcr-data-item-observation,direct-profile,tcr-coded-data-item-observation-example,pass-publisher-synthetic-example,pending-human-signoff,TCR coding and FHIR reviewer,Confirm verified code-table binding illegal-code handling and source traceability.,,,,,,,
tcr-data-item-observation,TCRDataItemObservation,profile,TASK-TCR,Observation,resource,http://hl7.org/fhir/StructureDefinition/Observation,direct-profile,tcr-data-item-observation-example,pass-publisher-synthetic-example,pending-human-signoff,TCR and FHIR reviewer,Confirm field identity subject value source hint and code-table boundary.,,,,,,,
tcr-raw-data-item-observation,TCRRawDataItemObservation,profile,TASK-TCR,Observation,resource,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/tcr-data-item-observation,direct-profile,tcr-raw-data-item-observation-example,pass-publisher-synthetic-example,pending-human-signoff,TCR data governance reviewer,Confirm raw value is source-preserving evidence and pending codes are not asserted canonical.,,,,,,,
tcr-registry-abstraction-task,TCRRegistryAbstractionTask,profile,TASK-TCR,Task,resource,http://hl7.org/fhir/StructureDefinition/Task,direct-profile,tcr-breast-abstraction-example,pass-publisher-synthetic-example,pending-human-signoff,TCR workflow and FHIR reviewer,Confirm task focus patient questionnaire inputs outputs ownership and submission boundary.,,,,,,,
tcr-codetable-pending,TCRCodeTablePending,extension,TASK-TCR,Extension,complex-type,http://hl7.org/fhir/StructureDefinition/Extension,extension-use,tcr-breast-longform,pass-publisher-synthetic-example,pending-human-signoff,TCR coding governance reviewer,Confirm the marker is limited to fields whose official code table is unresolved and cannot be interpreted as a valid code binding.,,,,,,,
tcr-illegal-code,TCRIllegalCode,extension,TASK-TCR,Extension,complex-type,http://hl7.org/fhir/StructureDefinition/Extension,extension-use,tcr-illegal-code-negative-example,pass-publisher-synthetic-example,pending-human-signoff,TCR coding governance reviewer,Confirm illegal values remain explicit negative evidence and cannot enter canonical coded facts.,,,,,,,
tcr-source-document,TCRSourceDocument,extension,TASK-TCR,Extension,complex-type,http://hl7.org/fhir/StructureDefinition/Extension,extension-use,tcr-breast-longform,pass-publisher-synthetic-example,pending-human-signoff,TCR source governance reviewer,Confirm the source-document citation is versioned traceable and not treated as field-level system provenance.,,,,,,,
tcr-source-hint,TCRSourceHint,extension,TASK-TCR,Extension,complex-type,http://hl7.org/fhir/StructureDefinition/Extension,extension-use,tcr-breast-longform,pass-publisher-synthetic-example,pending-human-signoff,TCR source governance reviewer,Confirm source hints remain non-authoritative guidance until system table column or API provenance is approved.,,,,,,,
