fact_id,acquisition_batch,batch_rank,work_package_id,proposed_primary_owner_role,required_co_reviewer_roles,priority,fact_name,indicator_family,affected_measure_ids,affected_criterion_ids,fhir_target,acquisition_question,required_source_artifacts,acceptance_evidence,assignment_status,confirmed_owner_name,confirmed_owner_organization_title,assignment_date,assignment_evidence_uri_path,signed_assignment_sha256,notes
CM-BC-011,B0-result-blockers,0,WP-03-PATHOLOGY,pathology / laboratory-information-system source owner,pathology clinical owner; cancer-registry owner; terminology reviewer,P0,HER2 in situ hybridisation result,both,bc-qi-04 bc-qr-18,D4-HER2 S18-SUBTYPE,BreastCancerTumorMarkerObservation::Observation.valueCodeableConcept,Identify the authoritative system/artifact/element and version for HER2 in situ hybridisation result; resolve: indicator 4 and quarterly HR/HER2 subtype cannot be calculated,LIS/pathology schema; accession specimen and report linkage; effective final and corrected timestamps; ER PR HER2 Ki-67 and histology code dictionaries; pending null correction and derivation rules; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-BC-012,B4-support,4,WP-03-PATHOLOGY,pathology / laboratory-information-system source owner,pathology clinical owner; cancer-registry owner; terminology reviewer,P2,Ki-67 proliferation index,quality,,,BreastCancerTumorMarkerObservation::Observation.valueQuantity{%},Identify the authoritative system/artifact/element and version for Ki-67 proliferation index; resolve: molecular subtype cannot be derived,LIS/pathology schema; accession specimen and report linkage; effective final and corrected timestamps; ER PR HER2 Ki-67 and histology code dictionaries; pending null correction and derivation rules; source version,approved source/output contract; provenance or report-reconciliation evidence,unassigned,,,,,,
CM-BC-013,B4-support,4,WP-03-PATHOLOGY,pathology / laboratory-information-system source owner,pathology clinical owner; cancer-registry owner; terminology reviewer,P2,molecular subtype,quality,,,derived::derived from QI-BC-008/009/010/011/012,Identify the authoritative system/artifact/element and version for molecular subtype; resolve: indicator 4 keeps using a hand-entered letter with no audit trail,LIS/pathology schema; accession specimen and report linkage; effective final and corrected timestamps; ER PR HER2 Ki-67 and histology code dictionaries; pending null correction and derivation rules; source version,approved source/output contract; provenance or report-reconciliation evidence,unassigned,,,,,,
CM-BC-014,B1-cohort-rate,1,WP-04-SURGERY-PROCEDURE,surgery / procedure-record source owner,breast-surgery clinical owner; pathology reviewer; coding/terminology reviewer,P0,breast surgery performed,quality,bc-qi-04 bc-qi-05 bc-qi-06,D4-SURGERY D5-SURGERY D6-SURGERY-BCT,BreastCancerTreatmentProcedure::Procedure.status|Procedure.code,Identify the authoritative system/artifact/element and version for breast surgery performed; resolve: all surgery-based denominators fail,OR and procedure schema; surgery axillary-procedure and biopsy code lists; performed start/end semantics; cancelled and not-done rules; laterality and encounter linkage; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-BC-015,B1-cohort-rate,1,WP-04-SURGERY-PROCEDURE,surgery / procedure-record source owner,breast-surgery clinical owner; pathology reviewer; coding/terminology reviewer,P0,breast surgery type,quality,bc-qi-03 bc-qi-06,D3-MASTECTOMY D6-SURGERY-BCT,BreastCancerTreatmentProcedure::Procedure.code,Identify the authoritative system/artifact/element and version for breast surgery type; resolve: indicators 3 and 6 cannot identify the operation,OR and procedure schema; surgery axillary-procedure and biopsy code lists; performed start/end semantics; cancelled and not-done rules; laterality and encounter linkage; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-BC-016,B1-cohort-rate,1,WP-04-SURGERY-PROCEDURE,surgery / procedure-record source owner,breast-surgery clinical owner; pathology reviewer; coding/terminology reviewer,P0,axillary surgery type,quality,bc-qi-02 bc-qi-05,N2-SLNB N5-ADH-RULE,BreastCancerTreatmentProcedure::Procedure.code,Identify the authoritative system/artifact/element and version for axillary surgery type; resolve: indicator 2 numerator cannot be evaluated,OR and procedure schema; surgery axillary-procedure and biopsy code lists; performed start/end semantics; cancelled and not-done rules; laterality and encounter linkage; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-BC-017,B0-result-blockers,0,WP-04-SURGERY-PROCEDURE,surgery / procedure-record source owner,breast-surgery clinical owner; pathology reviewer; coding/terminology reviewer,P0,breast surgery date,quality,bc-qi-02 bc-qi-05 bc-qi-06,D2-SURGERY-FIRST N5-BIOPSY-BEFORE N6-RT,BreastCancerTreatmentProcedure::Procedure.performedDateTime|Procedure.performedPeriod.start,Identify the authoritative system/artifact/element and version for breast surgery date; resolve: measures 2 and 5 keep their proxy criteria,OR and procedure schema; surgery axillary-procedure and biopsy code lists; performed start/end semantics; cancelled and not-done rules; laterality and encounter linkage; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-BC-018,B0-result-blockers,0,WP-04-SURGERY-PROCEDURE,surgery / procedure-record source owner,breast-surgery clinical owner; pathology reviewer; coding/terminology reviewer,P0,diagnostic core needle biopsy,quality,bc-qi-05,N5-BIOPSY-BEFORE,BreastCancerTreatmentProcedure::Procedure.code|Procedure.performedDateTime,Identify the authoritative system/artifact/element and version for diagnostic core needle biopsy; resolve: indicator 5 can only test that a biopsy exists,OR and procedure schema; surgery axillary-procedure and biopsy code lists; performed start/end semantics; cancelled and not-done rules; laterality and encounter linkage; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-BC-019,B1-cohort-rate,1,WP-03-PATHOLOGY,pathology / laboratory-information-system source owner,pathology clinical owner; cancer-registry owner; terminology reviewer,P0,pathology report,quality,bc-qi-05,N5-ADH-RULE N5-BIOPSY-BEFORE,BreastCancerPathologyReport::DiagnosticReport.effectiveDateTime|DiagnosticReport.conclusionCode,Identify the authoritative system/artifact/element and version for pathology report; resolve: biopsy-before-surgery cannot be evidenced,LIS/pathology schema; accession specimen and report linkage; effective final and corrected timestamps; ER PR HER2 Ki-67 and histology code dictionaries; pending null correction and derivation rules; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-BC-020,B1-cohort-rate,1,WP-05-SYSTEMIC-THERAPY,oncology medication / pharmacy source owner,medical-oncology owner; pharmacy reviewer; terminology reviewer,P0,hormone therapy,quality,bc-qi-01 bc-qi-02,D2-SURGERY-FIRST N1-HT,BreastCancerMedicationRequest::MedicationRequest.medicationCodeableConcept|MedicationRequest.authoredOn,Identify the authoritative system/artifact/element and version for hormone therapy; resolve: indicator 1 numerator cannot be evaluated,medication order and administration schema; drug and regimen code systems; intent authored administration and completion timestamps; status cancellation and external-treatment rules; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-BC-021,B0-result-blockers,0,WP-05-SYSTEMIC-THERAPY,oncology medication / pharmacy source owner,medical-oncology owner; pharmacy reviewer; terminology reviewer,P0,cytotoxic chemotherapy,quality,bc-qi-02,D2-SURGERY-FIRST,BreastCancerMedicationRequest::MedicationRequest.medicationCodeableConcept|MedicationRequest.authoredOn,Identify the authoritative system/artifact/element and version for cytotoxic chemotherapy; resolve: indicator 2 keeps the neoadjuvant-category proxy,medication order and administration schema; drug and regimen code systems; intent authored administration and completion timestamps; status cancellation and external-treatment rules; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-BC-022,B1-cohort-rate,1,WP-05-SYSTEMIC-THERAPY,oncology medication / pharmacy source owner,medical-oncology owner; pharmacy reviewer; terminology reviewer,P0,anti-HER2 targeted therapy,quality,bc-qi-02 bc-qi-04,D2-SURGERY-FIRST N4-ANTIHER2,BreastCancerMedicationRequest::MedicationRequest.medicationCodeableConcept|MedicationRequest.authoredOn,Identify the authoritative system/artifact/element and version for anti-HER2 targeted therapy; resolve: indicator 4 numerator cannot be evaluated,medication order and administration schema; drug and regimen code systems; intent authored administration and completion timestamps; status cancellation and external-treatment rules; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-BC-023,B1-cohort-rate,1,WP-06-RADIOTHERAPY,radiation-oncology information-system source owner,radiation-oncology clinical owner; medical-physics reviewer; FHIR/terminology reviewer,P0,radiotherapy course,quality,bc-qi-03 bc-qi-06,N3-RT N6-RT,BreastCancerTreatmentProcedure::Procedure.status|Procedure.code|Procedure.performedPeriod,Identify the authoritative system/artifact/element and version for radiotherapy course; resolve: indicators 3 and 6 numerators cannot be evaluated,OIS/RIS schema; course fraction target-volume and delivered-dose fields; UCUM and cGy conversion; performer location and external-site rules; completion status and source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-BC-024,B0-result-blockers,0,WP-06-RADIOTHERAPY,radiation-oncology information-system source owner,radiation-oncology clinical owner; medical-physics reviewer; FHIR/terminology reviewer,P0,radiotherapy delivered dose,quality,bc-qi-03,N3-DOSE,new profile candidate::RadiotherapyCourseSummary.totalDoseDelivered{cGy},Identify the authoritative system/artifact/element and version for radiotherapy delivered dose; resolve: indicator 3 numerator ignores the dose threshold entirely,OIS/RIS schema; course fraction target-volume and delivered-dose fields; UCUM and cGy conversion; performer location and external-site rules; completion status and source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-BC-025,B0-result-blockers,0,WP-06-RADIOTHERAPY,radiation-oncology information-system source owner,radiation-oncology clinical owner; medical-physics reviewer; FHIR/terminology reviewer,P0,treatment performing organisation,quality,bc-qi-06,N6-RT,"BreastCancerTreatmentProcedure, BreastCancerMedicationRequest::Procedure.performer.actor|Procedure.location|MedicationRequest.performer",Identify the authoritative system/artifact/element and version for treatment performing organisation; resolve: numerator add-backs stay manual and indicator 6 stays understated,OIS/RIS schema; course fraction target-volume and delivered-dose fields; UCUM and cGy conversion; performer location and external-site rules; completion status and source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-BC-030,B3-stratifiers,3,WP-01-PATIENT-ADMIN,patient administration / health-information-management source owner,case-management owner; privacy/data-governance reviewer,P1,patient administrative sex,quarterly,bc-qr-14,S14-SEX,BreastCancerPatient::Patient.gender,Identify the authoritative system/artifact/element and version for patient administrative sex; resolve: sex distribution cannot be reported,MPI/ADT schema or API specification; birth sex and death field dictionary; patient merge and identifier rule; event timezone; extract query and version,approved source contract; source-to-FHIR case trace; bucket-level golden-cohort distribution comparison,unassigned,,,,,,
CM-BC-031,B3-stratifiers,3,WP-07-CASE-MANAGEMENT,case-management / quality-program source owner,indicator clinical owner; quality-committee owner; data-governance reviewer,P1,case closure,quarterly,bc-qr-13,S13-CLOSURE,BreastCancerEpisodeOfCare::EpisodeOfCare.period.end|EpisodeOfCare.status,Identify the authoritative system/artifact/element and version for case closure; resolve: closed-case counts cannot be reported,case-management form and database schema; complete code lists; original and adjusted result model; decision reason approver and audit timestamps; contact transfer treatment-state and closure semantics; source version,approved source contract; source-to-FHIR case trace; bucket-level golden-cohort distribution comparison,unassigned,,,,,,
CM-BC-032,B0-result-blockers,0,WP-03-PATHOLOGY,pathology / laboratory-information-system source owner,pathology clinical owner; cancer-registry owner; terminology reviewer,P0,histology type,quarterly,bc-qr-17 bc-qr-18,S17-HISTOLOGY S18-SUBTYPE,BreastCancerPrimaryCondition::Condition.extension[histology]|Observation,Identify the authoritative system/artifact/element and version for histology type; resolve: histology distribution needs a hand-maintained spelling dictionary and the documented group count disagrees with the current criteria,LIS/pathology schema; accession specimen and report linkage; effective final and corrected timestamps; ER PR HER2 Ki-67 and histology code dictionaries; pending null correction and derivation rules; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-BC-033,B1-cohort-rate,1,WP-02-REGISTRY-STAGING,cancer-registry / staging source owner,oncology clinical owner; pathology reviewer; terminology reviewer,P0,staging not yet complete,quarterly,bc-qr-01 bc-qr-03 bc-qr-12 bc-qr-15 bc-qr-16,S12-DYNAMIC S15-CLASS S16-STAGE X1-STAGING X3-STAGING,BreastCancerStageGroupObservation::Observation.dataAbsentReason,Identify the authoritative system/artifact/element and version for staging not yet complete; resolve: staging-in-progress cases must be adjudicated case by case from free text,registry and staging schema; case-entry and diagnosis fields; AJCC edition and method; case and episode identity rules; prior-year cohort query; late-update duplicate and null rules; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-BC-034,B1-cohort-rate,1,WP-07-CASE-MANAGEMENT,case-management / quality-program source owner,indicator clinical owner; quality-committee owner; data-governance reviewer,P0,care transferred to another facility,quarterly,bc-qr-01 bc-qr-02 bc-qr-03 bc-qr-16,N1-STAY N2-STAY-INSYS S16-STAGE X1-NOSTAY-TRANSFER X3-STAGING,BreastCancerEpisodeOfCare::EpisodeOfCare.managingOrganization|Organization.partOf,Identify the authoritative system/artifact/element and version for care transferred to another facility; resolve: the in-system correction rate relies on a hand-maintained hospital name list,case-management form and database schema; complete code lists; original and adjusted result model; decision reason approver and audit timestamps; contact transfer treatment-state and closure semantics; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-BC-035,B1-cohort-rate,1,WP-07-CASE-MANAGEMENT,case-management / quality-program source owner,indicator clinical owner; quality-committee owner; data-governance reviewer,P0,curative-intent treatment in progress,quarterly,bc-qr-01 bc-qr-03 bc-qr-05,N3-COMPLETE N5-RETURN X1-NOSTAY-TRANSFER X1-STAGING-DEATH X3-NONCURATIVE X3-ONGOING,Procedure|MedicationRequest|RadiotherapyCourseSummary::Procedure.status|MedicationRequest.status,Identify the authoritative system/artifact/element and version for curative-intent treatment in progress; resolve: treatment-stage exclusions are entirely manual,case-management form and database schema; complete code lists; original and adjusted result model; decision reason approver and audit timestamps; contact transfer treatment-state and closure semantics; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-BC-036,B1-cohort-rate,1,WP-01-PATIENT-ADMIN,patient administration / health-information-management source owner,case-management owner; privacy/data-governance reviewer,P0,death,quarterly,bc-qr-01 bc-qr-03 bc-qr-04 bc-qr-13,D4-COHORT N3-COMPLETE S13-CLOSURE X1-STAGING-DEATH X3-STAGING X3-TX-EVENT,BreastCancerPatient::Patient.deceasedDateTime,Identify the authoritative system/artifact/element and version for death; resolve: the four death buckets stay four independent manual flags,MPI/ADT schema or API specification; birth sex and death field dictionary; patient merge and identifier rule; event timezone; extract query and version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-BC-037,B1-cohort-rate,1,WP-07-CASE-MANAGEMENT,case-management / quality-program source owner,indicator clinical owner; quality-committee owner; data-governance reviewer,P0,last contact with the care team,quarterly,bc-qr-04,N4-LOST,Encounter|EpisodeOfCare::Encounter.period.end,Identify the authoritative system/artifact/element and version for last contact with the care team; resolve: loss-to-follow-up cannot be computed and stays a manual figure,case-management form and database schema; complete code lists; original and adjusted result model; decision reason approver and audit timestamps; contact transfer treatment-state and closure semantics; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-BC-038,B0-result-blockers,0,WP-02-REGISTRY-STAGING,cancer-registry / staging source owner,oncology clinical owner; pathology reviewer; terminology reviewer,P0,prior-year new diagnosis cohort,quarterly,bc-qr-04,D4-COHORT,BreastCancerEpisodeOfCare::EpisodeOfCare.period.start,Identify the authoritative system/artifact/element and version for prior-year new diagnosis cohort; resolve: the loss-to-follow-up denominator must be typed in by hand,registry and staging schema; case-entry and diagnosis fields; AJCC edition and method; case and episode identity rules; prior-year cohort query; late-update duplicate and null rules; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-TASK-001,B1-cohort-rate,1,WP-07-CASE-MANAGEMENT,case-management / quality-program source owner,indicator clinical owner; quality-committee owner; data-governance reviewer,P0,Class 分類,both,bc-qi-00 bc-qr-15,IP-CLASS S15-CLASS S15-CLASS3,Group.member or Task.input,"Identify the authoritative system/artifact/element and version for Class 分類; resolve: registry case class 0-3 assigned by the case manager. It is an administrative cohort label, not a clinical finding; do not promote it to shared breast cancer terminology | 季報：registry case class 0-3 assigned by the case manager. Shared with the quality index task and must carry the same definition in both; do not promote it to shared breast cancer terminology",case-management form and database schema; complete code lists; original and adjusted result model; decision reason approver and audit timestamps; contact transfer treatment-state and closure semantics; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-TASK-002,B1-cohort-rate,1,WP-07-CASE-MANAGEMENT,case-management / quality-program source owner,indicator clinical owner; quality-committee owner; data-governance reviewer,P0,收案身份 / 確診醫院,both,bc-qr-00 bc-qr-01 bc-qr-02 bc-qr-03 bc-qr-10,D1-BASE D2-BASE D3-BASE IP-NEWDX S10-IDENTITY,Task.input,"Identify the authoritative system/artifact/element and version for 收案身份 / 確診醫院; resolve: new diagnosis versus transferred case, and whether diagnosis was made here or elsewhere. Affects data completeness, not measure logic | 季報：new diagnosis / old case / delayed entry (within or outside the year) / first recurrence (curable or not). Decides which cases enter the new-diagnosis tables; it is a case-management category, not a clinical finding",case-management form and database schema; complete code lists; original and adjusted result model; decision reason approver and audit timestamps; contact transfer treatment-state and closure semantics; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-TASK-003,B1-cohort-rate,1,WP-07-CASE-MANAGEMENT,case-management / quality-program source owner,indicator clinical owner; quality-committee owner; data-governance reviewer,P0,收案狀態(新診斷動態)與結案原因,quarterly,bc-qr-05 bc-qr-12 bc-qr-13,D5-QUIT S12-DYNAMIC S13-CLOSURE,Task.input[case-status]|Task.input[closure-reason],Identify the authoritative system/artifact/element and version for 收案狀態(新診斷動態)與結案原因; resolve: case status: diagnosis / treatment / trial / follow-up / palliative / refused-interrupted / closed; closure reason when closed: death / transferred / refused-return / critical-aad. A staging override and every human closure judgment retain the original value and reason,case-management form and database schema; complete code lists; original and adjusted result model; decision reason approver and audit timestamps; contact transfer treatment-state and closure semantics; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-TASK-004,B1-cohort-rate,1,WP-07-CASE-MANAGEMENT,case-management / quality-program source owner,indicator clinical owner; quality-committee owner; data-governance reviewer,P0,是否留院治療 + 不留院治療原因,quarterly,bc-qr-01 bc-qr-16,N1-STAY S16-STAGE X1-NOSTAY-REFUSE,Task.businessStatus with reason,"Identify the authoritative system/artifact/element and version for 是否留院治療 + 不留院治療原因; resolve: whether the patient stays here for treatment and why not. The transfer reason is partly clinical (a receiving Organization exists) and partly administrative (refusal, no return visit)",case-management form and database schema; complete code lists; original and adjusted result model; decision reason approver and audit timestamps; contact transfer treatment-state and closure semantics; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-TASK-005,B1-cohort-rate,1,WP-07-CASE-MANAGEMENT,case-management / quality-program source owner,indicator clinical owner; quality-committee owner; data-governance reviewer,P0,不列入分母原因 + 留院治療不列入分母原因,quarterly,bc-qr-01,X1-CONSIDERING,MeasureReport extension or Task.output with reason,Identify the authoritative system/artifact/element and version for 不列入分母原因 + 留院治療不列入分母原因; resolve: why a case is excluded from the retention or completion denominator. Staging-in-progress becomes derivable once the stage observation carries a data-absent reason; the rest stay administrative,case-management form and database schema; complete code lists; original and adjusted result model; decision reason approver and audit timestamps; contact transfer treatment-state and closure semantics; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
