criterion_id,measure_id,indicator_family,population_type,variant,normative_rule,cql_evidence,cql_alignment,legacy_python_status,source_approval,workflow_contract,difference_classes,known_difference,publication_disposition,required_resolution
N2-SLNB,bc-qi-02,quality,numerator,both,分母中施行哨兵淋巴結取樣術者,Numerator 2,aligned-to-current-draft,implemented,0/1-facts-approved,not-applicable,none-known-against-current-draft,No implementation difference identified against the current draft; clinical meaning and real-data correctness remain unapproved.,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
D3-NODE,bc-qi-03,quality,denominator,both,腋下淋巴結陽性 >= 4 顆(病理 N2 以上),Denominator 3,aligned-to-current-draft,implemented,0/1-facts-approved,not-applicable,none-known-against-current-draft,No implementation difference identified against the current draft; clinical meaning and real-data correctness remain unapproved.,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
D3-MASTECTOMY,bc-qi-03,quality,denominator,both,接受乳房全切除手術(MRM、SM 或 NSM),Denominator 3,aligned-to-current-draft,implemented,0/1-facts-approved,not-applicable,none-known-against-current-draft,No implementation difference identified against the current draft; clinical meaning and real-data correctness remain unapproved.,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
D3-STAGE,bc-qi-03,quality,denominator,both,病理期別 I-III,Denominator 3,aligned-to-current-draft,implemented,0/1-facts-approved,not-applicable,none-known-against-current-draft,No implementation difference identified against the current draft; clinical meaning and real-data correctness remain unapproved.,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
X3-STAGE4,bc-qi-03,quality,denominator-exclusion,both,排除臨床或病理期別 IV,Denominator 3 Exclusion,aligned-to-current-draft,implemented,0/2-facts-approved,not-applicable,none-known-against-current-draft,No implementation difference identified against the current draft; clinical meaning and real-data correctness remain unapproved.,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
N3-RT,bc-qi-03,quality,numerator,both,分母中有進行放射治療者,Numerator 3,aligned-to-current-draft,implemented,0/1-facts-approved,not-applicable,none-known-against-current-draft,No implementation difference identified against the current draft; clinical meaning and real-data correctness remain unapproved.,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
N3-DOSE,bc-qi-03,quality,numerator,both,放射線治療最高放射劑量臨床標靶體積劑量 >= 4000 cGy,Total Radiotherapy Dose cGy,known-not-enforced,not-evaluable,0/1-facts-approved,not-applicable,blocking-data-gap; known-not-enforced; legacy-not-evaluable; source-proxy-replacement,Total Radiotherapy Dose cGy is a null placeholder and Numerator 3 does not enforce the required >=4000 cGy threshold; the result is only an upper bound. | Current source/report proxy: no dose is recorded anywhere; the criterion is not evaluated at all today,blocked-for-production-publication,"Add an approved delivered-dose source/profile, enforce the unit-normalized threshold, and rerun truth cases. | Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
D4-SURGERY,bc-qi-04,quality,denominator,both,乳癌有手術者,Denominator 4,aligned-to-current-draft,not-implemented,0/1-facts-approved,not-applicable,legacy-not-implemented; open-question,Current source/report proxy: one 2026Q1 denominator case has 手術=0 in the worksheet yet is counted; needs review | Legacy Python result impact: 5/5 -> 3/3,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
D4-HER2,bc-qi-04,quality,denominator,both,術後 HER-2 為 3+，或 2+ 且術後 FISH 為 positive,Denominator 4,aligned-to-current-draft,implemented,0/2-facts-approved,not-applicable,proxy-in-use; source-proxy-replacement,Current source/report proxy: no HER-2 or FISH value is recorded; approximated by molecular subtype in B2 or H,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
D4-NODE,bc-qi-04,quality,denominator,both,病理 N >= 1(含 N1mi),Denominator 4,aligned-to-current-draft,implemented,0/1-facts-approved,not-applicable,none-known-against-current-draft,No implementation difference identified against the current draft; clinical meaning and real-data correctness remain unapproved.,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
X4-STAGE4,bc-qi-04,quality,denominator-exclusion,both,排除轉移性乳癌(臨床或病理期別 IV),Denominator 4 Exclusion,aligned-to-current-draft,implemented,0/2-facts-approved,not-applicable,none-known-against-current-draft,No implementation difference identified against the current draft; clinical meaning and real-data correctness remain unapproved.,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
N4-ANTIHER2,bc-qi-04,quality,numerator,both,分母中手術前或手術後給予輔助性 anti HER2 藥物治療者,Numerator 4,aligned-to-current-draft,implemented,0/1-facts-approved,not-applicable,none-known-against-current-draft,No implementation difference identified against the current draft; clinical meaning and real-data correctness remain unapproved.,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
D5-SURGERY,bc-qi-05,quality,denominator,both,經過治療手術(全乳房切除或保留乳房手術含腋下淋巴結切除)治療乳癌者,Denominator 5,aligned-to-current-draft,implemented,0/1-facts-approved,not-applicable,none-known-against-current-draft,No implementation difference identified against the current draft; clinical meaning and real-data correctness remain unapproved.,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
D5-STAGE,bc-qi-05,quality,denominator,both,臨床或病理期別 I-III,Denominator 5,aligned-to-current-draft,implemented,0/2-facts-approved,not-applicable,none-known-against-current-draft,No implementation difference identified against the current draft; clinical meaning and real-data correctness remain unapproved.,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
X5-INSITU-STAGE4,bc-qi-05,quality,denominator-exclusion,both,排除原位癌及轉移性乳癌,Denominator 5 Exclusion,aligned-to-current-draft,not-implemented,0/2-facts-approved,not-applicable,legacy-not-implemented,Legacy Python result impact: 94/94 -> 92/92,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
X5-TEAM,bc-qi-05,quality,denominator-exclusion,both,團隊決議排除(前次年度診斷、他院手術等),task-layer-only,task-layer-only,task-layer,0/1-facts-approved,dedicated-task-profile-present-pending-approval,legacy-task-layer; task-layer-only,The multidisciplinary exclusion is intentionally absent from CQL and must be applied as a reasoned case-level decision.,blocked-for-production-publication,"Define the Task/MeasureReport override contract and reconcile every excluded case. | Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
N5-BIOPSY-BEFORE,bc-qi-05,quality,numerator,both,分母中手術進行至少前一天曾經組織學確診者,Numerator 5|Earliest Histologic Diagnosis Date,aligned-to-current-draft,implemented,0/3-facts-approved,not-applicable,proxy-in-use; source-proxy-replacement,Current source/report proxy: no biopsy or surgery dates exist; approximated by the presence of a core needle biopsy flag,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
N5-ADH-RULE,bc-qi-05,quality,numerator,both,術前切片為 ADH 並進行診斷性手術，術後加做 SLNB 者仍為符合個案(2024/11/07 第43次會議、2025/06/05 癌委會),task-layer-only,task-layer-only,manual-override,0/3-facts-approved,dedicated-task-profile-present-pending-approval,legacy-manual-override; source-proxy-replacement; task-layer-only,The ADH committee add-back is intentionally absent from CQL and has no executable per-case override contract in this IG. | Current source/report proxy: applied case by case as a manual numerator add-back; five cases in 2026Q1,blocked-for-production-publication,"Define the governed add-back input/output and test the original value, reason, decision, and approver trail. | Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
D6-SURGERY-BCT,bc-qi-06,quality,denominator,both,接受乳房保留手術者,Denominator 6,aligned-to-current-draft,implemented,0/2-facts-approved,not-applicable,none-known-against-current-draft,No implementation difference identified against the current draft; clinical meaning and real-data correctness remain unapproved.,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
D6-INVASIVE,bc-qi-06,quality,denominator,both,病理分期為侵犯性乳癌,Denominator 6,aligned-to-current-draft,divergent,0/2-facts-approved,not-applicable,blocking-data-gap; legacy-divergent; source-proxy-replacement,Current source/report proxy: 27 of 158 rows record 病理期別 as 不適用 including post-neoadjuvant cases whose ypStage does exist | Legacy Python result impact: 14/15 -> 10/11,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
X6-STAGE4,bc-qi-06,quality,denominator-exclusion,both,排除轉移性乳癌(stage IV),Denominator 6 Exclusion,aligned-to-current-draft,implemented,0/2-facts-approved,not-applicable,none-known-against-current-draft,No implementation difference identified against the current draft; clinical meaning and real-data correctness remain unapproved.,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
X6-AGE-NODE-DEF,bc-qi-06,quality,denominator-exclusion,definition,排除年齡 >= 70 且病理 N0 者(定義原文的 AND 條件),Denominator 6 Exclusion|Definition Age Node Exclusion,implemented-variant-unresolved,implemented,0/2-facts-approved,not-applicable,implemented-variant-unresolved; open-question,"The written AND rule is implemented, but the caller may instead choose the historical practice variant; the authoritative reading is not approved.",blocked-for-production-publication,"Obtain cancer-committee approval of one variant and lock the production parameter value. | Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
X6-AGE-PRACTICE,bc-qi-06,quality,denominator-exclusion,practice,排除所有年齡 >= 70 者(歷年實作),Denominator 6 Exclusion|Practice Age Node Exclusion,implemented-variant-unresolved,implemented,0/1-facts-approved,not-applicable,implemented-variant-unresolved; open-question,"The historical age-only exclusion is implemented, but it conflicts with the written AND rule. | Current source/report proxy: 歷年實作把年齡與淋巴結兩個排除條件拆成獨立條件，與定義原文的 AND 不同",blocked-for-production-publication,"Obtain cancer-committee approval of one variant and lock the production parameter value. | Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
X6-NODE-PRACTICE,bc-qi-06,quality,denominator-exclusion,practice,排除所有病理 N0 者(歷年實作),Denominator 6 Exclusion|Practice Age Node Exclusion,implemented-variant-unresolved,implemented,0/1-facts-approved,not-applicable,implemented-variant-unresolved; open-question,"The historical node-only exclusion is implemented, but it conflicts with the written AND rule. | Current source/report proxy: 同上；2026Q1 因此少了 30 例分母",blocked-for-production-publication,"Obtain cancer-committee approval of one variant and lock the production parameter value. | Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
N6-RT,bc-qi-06,quality,numerator,both,分母中術後接受放射線治療者,Numerator 6,aligned-to-current-draft,implemented,0/3-facts-approved,not-applicable,blocking-data-gap; source-proxy-replacement,Current source/report proxy: the radiotherapy flag records this hospital only; five cases were added back by hand with the reason 總院RT,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
IP-CASELOAD,bc-qr-00,quarterly,initial-population,both,報告期間內該個管師的全部收案,Quarterly Caseload,aligned-to-current-draft,implemented,0/3-facts-approved,not-applicable,none-known-against-current-draft,No implementation difference identified against the current draft; clinical meaning and real-data correctness remain unapproved.,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
IP-NEWDX,bc-qr-00,quarterly,initial-population,both,收案身份為新診斷,New Diagnosis Case,aligned-to-current-draft,implemented,0/1-facts-approved,dedicated-task-profile-present-pending-approval,none-known-against-current-draft,No implementation difference identified against the current draft; clinical meaning and real-data correctness remain unapproved.,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
D1-BASE,bc-qr-01,quarterly,denominator,both,新診斷個案量,Denominator QR1,aligned-to-current-draft,implemented,0/1-facts-approved,dedicated-task-profile-present-pending-approval,none-known-against-current-draft,No implementation difference identified against the current draft; clinical meaning and real-data correctness remain unapproved.,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
X1-STAGING,bc-qr-01,quarterly,denominator-exclusion,both,分期檢查中(診斷中),Denominator QR1 Exclusion,aligned-to-current-draft,implemented,0/1-facts-approved,not-applicable,source-proxy-replacement,"Current source/report proxy: 是否留院治療 = 不列入分母 and 留院治療不列入分母原因 = 分期檢查中, plus manual adjudication of cases whose 分期 is ? but who are already in treatment",blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
X1-STAGING-DEATH,bc-qr-01,quarterly,denominator-exclusion,both,診斷中死亡,Denominator QR1 Exclusion,aligned-to-current-draft,implemented,0/2-facts-approved,not-applicable,source-proxy-replacement,Current source/report proxy: task-only 不列入分母原因 = 診斷中死亡,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
X1-CONSIDERING,bc-qr-01,quarterly,denominator-exclusion,both,考慮治療且回診間隔 < 1 個月(規則或拒絕),Denominator QR1 Exclusion,aligned-to-current-draft,implemented,0/1-facts-approved,dedicated-task-profile-present-pending-approval,none-known-against-current-draft,No implementation difference identified against the current draft; clinical meaning and real-data correctness remain unapproved.,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
N1-STAY,bc-qr-01,quarterly,numerator,both,留院治療人數,Numerator QR1,aligned-to-current-draft,implemented,0/2-facts-approved,dedicated-task-profile-present-pending-approval,source-proxy-replacement,Current source/report proxy: 是否留院治療 = 是,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
X1-NOSTAY-TRANSFER,bc-qr-01,quarterly,numerator-exclusion,both,診斷中轉院,Numerator QR1 Exclusion,aligned-to-current-draft,implemented,0/2-facts-approved,not-applicable,source-proxy-replacement,Current source/report proxy: 不留院治療原因 = 診斷中轉院,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
X1-NOSTAY-REFUSE,bc-qr-01,quarterly,numerator-exclusion,both,完全不治療且未回診 / 未接受治療且回診間隔 > 1 個月,Numerator QR1 Exclusion,aligned-to-current-draft,implemented,0/1-facts-approved,dedicated-task-profile-present-pending-approval,none-known-against-current-draft,No implementation difference identified against the current draft; clinical meaning and real-data correctness remain unapproved.,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
D2-BASE,bc-qr-02,quarterly,denominator,both,同 bc-qr-01 分母,Denominator QR2,aligned-to-current-draft,implemented,0/1-facts-approved,dedicated-task-profile-present-pending-approval,none-known-against-current-draft,No implementation difference identified against the current draft; clinical meaning and real-data correctness remain unapproved.,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
N2-STAY-INSYS,bc-qr-02,quarterly,numerator,both,留院治療人數加計轉臺大體系內醫院者,Numerator QR2,aligned-to-current-draft,implemented,0/1-facts-approved,not-applicable,source-proxy-replacement,Current source/report proxy: 轉院醫院 string matched against a hospital keyword list (NTUH/臺大/總院/各分院/生醫/癌醫),blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
D3-BASE,bc-qr-03,quarterly,denominator,both,留院且醫師建議應接受治癒性治療之新診斷個案量,Denominator QR3,aligned-to-current-draft,implemented,0/1-facts-approved,dedicated-task-profile-present-pending-approval,none-known-against-current-draft,No implementation difference identified against the current draft; clinical meaning and real-data correctness remain unapproved.,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
X3-STAGING,bc-qr-03,quarterly,denominator-exclusion,both,診斷中 / 診斷中死亡 / 診斷中轉院,Denominator QR3 Exclusion,aligned-to-current-draft,implemented,0/3-facts-approved,not-applicable,source-proxy-replacement,Current source/report proxy: see bc-qr-01,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
X3-ONGOING,bc-qr-03,quarterly,denominator-exclusion,both,接受治癒性治療中,Denominator QR3 Exclusion,aligned-to-current-draft,implemented,0/1-facts-approved,not-applicable,source-proxy-replacement,Current source/report proxy: 可治癒性治療細目 = 接受治癒性治療中,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
X3-TX-EVENT,bc-qr-03,quarterly,denominator-exclusion,both,治療中死亡 / 治療中轉院 / 醫師建議停止治療 / 特殊狀況不建議治癒性治療 / 積極監測,Denominator QR3 Exclusion,aligned-to-current-draft,implemented,0/2-facts-approved,dedicated-task-profile-present-pending-approval,source-proxy-replacement,Current source/report proxy: 可治癒性治療細目,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
X3-NONCURATIVE,bc-qr-03,quarterly,denominator-exclusion,both,不可治癒性治療,Denominator QR3 Exclusion,aligned-to-current-draft,implemented,0/1-facts-approved,not-applicable,source-proxy-replacement,Current source/report proxy: 不列入分母原因 = 不可治癒性治療,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
N3-COMPLETE,bc-qr-03,quarterly,numerator,both,留院完成治療 + 完治後死亡 + 完治後轉院,Numerator QR3,aligned-to-current-draft,implemented,0/2-facts-approved,not-applicable,source-proxy-replacement,Current source/report proxy: 完成原因,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
X3-INCOMPLETE,bc-qr-03,quarterly,numerator-exclusion,both,未完成治療(拒絕部分治療或中斷治療),Numerator QR3 Exclusion,aligned-to-current-draft,implemented,0/1-facts-approved,dedicated-task-profile-present-pending-approval,none-known-against-current-draft,Current source/report proxy: 未完成治療原因 non-empty,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
D4-COHORT,bc-qr-04,quarterly,denominator,both,前一年度加本期新診斷個案扣除死亡,Prior Year And Current New Diagnosis Cohort|Denominator QR4,conditional-data-contract,not-implemented,0/2-facts-approved,not-applicable,blocking-data-gap; conditional-data-contract; legacy-not-implemented; source-proxy-replacement,The expression returns false unless the caller asserts that the full prior-year plus current cohort was loaded; the current single-period export cannot prove that assertion. | Current source/report proxy: typed in by hand; a single-period export cannot supply the prior-year cohort,blocked-for-production-publication,"Approve and load the complete cohort contract, then reconcile all denominator members. | Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
N4-LOST,bc-qr-04,quarterly,numerator,both,自最後一次與醫療團隊聯繫日起滿一年未再聯繫,Last Contact Date|Numerator QR4,conditional-data-contract,not-implemented,0/2-facts-approved,dedicated-task-profile-present-pending-approval,blocking-data-gap; conditional-data-contract; legacy-not-implemented; source-proxy-replacement,The one-year calculation executes only inside the unavailable complete cohort and still requires governed manual loss-to-follow-up adjudication. | Current source/report proxy: none; the figure is typed in,blocked-for-production-publication,"Load longitudinal contact history and the complete cohort, then reconcile case-level adjudications. | Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
D5-QUIT,bc-qr-05,quarterly,denominator,both,期間內拒絕及中斷治療個案數,Denominator QR5,aligned-to-current-draft,implemented,0/3-facts-approved,dedicated-task-profile-present-pending-approval,source-proxy-replacement,Current source/report proxy: 收案狀態 = 拒絕與中斷,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
