projection_id,mapping_id,alternative_index,common_concept,source_profile_expression,target_path_expression,projection_mode,target_profile_id,target_profile_canonical,target_element_id,target_element_path,selected_choice_type,datatype_child_path,required_unit,technical_status,fact_coverage_status,blocking_issue
CM-BC-023-T02,CM-BC-023,2,radiotherapy course,BreastCancerTreatmentProcedure,Procedure.code,local-profile-element,breast-cancer-treatment-procedure,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-treatment-procedure,Procedure.code,Procedure.code,,,,resolved-profile-element,complete,
CM-BC-023-T03,CM-BC-023,3,radiotherapy course,BreastCancerTreatmentProcedure,Procedure.performedPeriod,local-profile-element,breast-cancer-treatment-procedure,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-treatment-procedure,Procedure.performed[x],Procedure.performed[x],Period,,,resolved-profile-element,complete,
CM-BC-024-T01,CM-BC-024,1,radiotherapy delivered dose,new profile candidate,RadiotherapyCourseSummary.totalDoseDelivered{cGy},profile-or-related-resource-gap,,,,,,,,blocked-no-exact-profile-element,blocked,No single local Profile and Publisher snapshot element are declared for this target alternative.
CM-BC-025-T01,CM-BC-025,1,treatment performing organisation,"BreastCancerTreatmentProcedure, BreastCancerMedicationAdministration",Procedure.performer.actor,local-profile-element,breast-cancer-treatment-procedure,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-treatment-procedure,Procedure.performer.actor,Procedure.performer.actor,,,,resolved-profile-element,complete,
CM-BC-025-T02,CM-BC-025,2,treatment performing organisation,"BreastCancerTreatmentProcedure, BreastCancerMedicationAdministration",Procedure.location,local-profile-element,breast-cancer-treatment-procedure,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-treatment-procedure,Procedure.location,Procedure.location,,,,resolved-profile-element,complete,
CM-BC-025-T03,CM-BC-025,3,treatment performing organisation,"BreastCancerTreatmentProcedure, BreastCancerMedicationAdministration",MedicationAdministration.performer.actor,local-profile-element,breast-cancer-medication-administration,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-medication-administration,MedicationAdministration.performer.actor,MedicationAdministration.performer.actor,,,,resolved-profile-element,complete,
CM-BC-030-T01,CM-BC-030,1,patient administrative sex,BreastCancerPatient,Patient.gender,local-profile-element,breast-cancer-patient,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-patient,Patient.gender,Patient.gender,,,,resolved-profile-element,complete,
CM-BC-031-T01,CM-BC-031,1,case closure,BreastCancerEpisodeOfCare,EpisodeOfCare.period.end,local-profile-element,breast-cancer-episode-of-care,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-episode-of-care,EpisodeOfCare.period,EpisodeOfCare.period,Period,end,,resolved-profile-element,complete,
CM-BC-031-T02,CM-BC-031,2,case closure,BreastCancerEpisodeOfCare,EpisodeOfCare.status,local-profile-element,breast-cancer-episode-of-care,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-episode-of-care,EpisodeOfCare.status,EpisodeOfCare.status,,,,resolved-profile-element,complete,
CM-BC-032-T01,CM-BC-032,1,histology type,BreastCancerPrimaryCondition,Condition.extension[histology],local-profile-element-gap,breast-cancer-primary-condition,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-primary-condition,,,,,,blocked-unresolved-profile-element,blocked,slice 'histology' does not exist at Condition.extension; No single local Profile and Publisher snapshot element are declared for this target alternative.
CM-BC-032-T02,CM-BC-032,2,histology type,BreastCancerPrimaryCondition,Observation,profile-or-related-resource-gap,,,,,,,,blocked-no-exact-profile-element,blocked,No single local Profile and Publisher snapshot element are declared for this target alternative.; slice 'histology' does not exist at Condition.extension
CM-BC-033-T01,CM-BC-033,1,staging not yet complete,BreastCancerStageGroupObservation,Observation.dataAbsentReason,local-profile-element,breast-cancer-stage-group-observation,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-stage-group-observation,Observation.dataAbsentReason,Observation.dataAbsentReason,,,,resolved-profile-element,complete,
CM-BC-034-T01,CM-BC-034,1,care transferred to another facility,BreastCancerEpisodeOfCare,EpisodeOfCare.managingOrganization,local-profile-element,breast-cancer-episode-of-care,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-episode-of-care,EpisodeOfCare.managingOrganization,EpisodeOfCare.managingOrganization,,,,resolved-profile-element,partial,No single local Profile and Publisher snapshot element are declared for this target alternative.
CM-BC-034-T02,CM-BC-034,2,care transferred to another facility,BreastCancerEpisodeOfCare,Organization.partOf,profile-or-related-resource-gap,,,,,,,,blocked-no-exact-profile-element,blocked,No single local Profile and Publisher snapshot element are declared for this target alternative.
CM-BC-035-T01,CM-BC-035,1,curative-intent treatment in progress,Procedure|MedicationAdministration|RadiotherapyCourseSummary,Procedure.status,local-profile-element,breast-cancer-treatment-procedure,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-treatment-procedure,Procedure.status,Procedure.status,,,,resolved-profile-element,partial,RadiotherapyCourseSummary is named as a source representation but has no local profile or target element alternative.
CM-BC-035-T02,CM-BC-035,2,curative-intent treatment in progress,Procedure|MedicationAdministration|RadiotherapyCourseSummary,MedicationAdministration.status,local-profile-element,breast-cancer-medication-administration,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-medication-administration,MedicationAdministration.status,MedicationAdministration.status,,,,resolved-profile-element-semantic-profile-gap,blocked-semantic-profile-gap,RadiotherapyCourseSummary is named as a source representation but has no local profile or target element alternative.; MedicationAdministration.status establishes event state but does not by itself establish curative intent or course-level completion; an approved treatment-plan/course linkage rule is required.
CM-BC-036-T01,CM-BC-036,1,death,BreastCancerPatient,Patient.deceasedDateTime,local-profile-element,breast-cancer-patient,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-patient,Patient.deceased[x],Patient.deceased[x],dateTime,,,resolved-profile-element,complete,
CM-BC-037-T01,CM-BC-037,1,last contact with the care team,Encounter|EpisodeOfCare,Encounter.period.end,profile-or-related-resource-gap,,,,,,,,blocked-no-exact-profile-element,blocked,No single local Profile and Publisher snapshot element are declared for this target alternative.; Encounter has no local profile and the EpisodeOfCare alternative has no target path for last-contact semantics.
CM-BC-038-T01,CM-BC-038,1,prior-year new diagnosis cohort,BreastCancerEpisodeOfCare,EpisodeOfCare.period.start,local-profile-element,breast-cancer-episode-of-care,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-episode-of-care,EpisodeOfCare.period,EpisodeOfCare.period,Period,start,,resolved-profile-element,partial,EpisodeOfCare.period.start supplies a date but cannot establish that the episode belongs to the prior-year new-diagnosis cohort; an episode-scoped new-diagnosis discriminator and linkage rule are absent.
