evidence_id,fact_id,indicator_family,fact_name,fhir_target,source_role,source_system,source_artifact,source_element,source_version,data_type,time_semantics,unit_policy,null_policy,transformation_rule,provenance_rule,source_owner,review_status,reviewer_name,reviewer_organization_title,review_date,evidence_uri_path,signed_artifact_sha256,notes,record_grain,business_key,join_rule,source_cardinality,allowed_value_domain,event_timezone,precision_tolerance,duplicate_resolution_rule,late_arriving_update_rule,invalid_value_policy,extraction_filter,fhir_absence_representation,derivation_input_fact_ids
SRC-CM-TASK-003,CM-TASK-003,quarterly,收案狀態(新診斷動態)與結案原因,Task.input[case-status]|Task.input[closure-reason],pending-source-discovery,,,,,,,,,,,case management system,pending,,,,,,Existing report/manual fields are not authoritative until both originating system elements and their value semantics are approved.,,,,,,,,,,,,,
SRC-CM-TASK-004,CM-TASK-004,quarterly,是否留院治療 + 不留院治療原因,Task.businessStatus with reason,pending-source-discovery,,,,,,,,,,,case management system,pending,,,,,,Existing report/manual field is not authoritative until its originating system element is approved.,,,,,,,,,,,,,
SRC-CM-TASK-005,CM-TASK-005,quarterly,不列入分母原因 + 留院治療不列入分母原因,MeasureReport extension or Task.output with reason,pending-source-discovery,,,,,,,,,,,case management system,pending,,,,,,Existing report/manual field is not authoritative until its originating system element is approved.,,,,,,,,,,,,,
SRC-CM-TASK-006,CM-TASK-006,quarterly,可治癒性治療細目,Task.businessStatus with reason,pending-source-discovery,,,,,,,,,,,case management system,pending,,,,,,Existing report/manual field is not authoritative until its originating system element is approved.,,,,,,,,,,,,,
SRC-CM-TASK-007,CM-TASK-007,quarterly,完成治療率 + 完成原因 + 未完成治療原因,Task.output with reason,pending-source-discovery,,,,,,,,,,,case management system,pending,,,,,,Existing report/manual field is not authoritative until its originating system element is approved.,,,,,,,,,,,,,
SRC-CM-TASK-010,CM-TASK-010,quality,分母排除 / 分子加回 / 分子排除,MeasureReport extension or Task.output with reason,pending-source-discovery,,,,,,,,,,,cancer committee,pending,,,,,,Manual override is authoritative only as a governed decision with original value reason actor and time.,,,,,,,,,,,,,
SRC-CM-TASK-011,CM-TASK-011,quality,團隊自訂閾值,Measure extension or MeasureReport extension,pending-source-discovery,,,,,,,,,,,cancer committee,pending,,,,,,The threshold requires a versioned committee decision.,,,,,,,,,,,,,
SRC-CM-TASK-012,CM-TASK-012,quality,不符合個案分析(VS、討論過程、結論),MeasureReport extension or Composition,pending-source-discovery,,,,,,,,,,,cancer committee,pending,,,,,,Committee narrative requires governed provenance.,,,,,,,,,,,,,
SRC-CM-TASK-013,CM-TASK-013,quarterly,分期未定個案的期別判定,MeasureReport extension or Task.output with reason,pending-source-discovery,,,,,,,,,,,case manager,pending,,,,,,Manual adjudication requires original value resolved value reason actor and time.,,,,,,,,,,,,,
SRC-CM-TASK-014,CM-TASK-014,quarterly,拒絕及中斷程度(全/部分)與重返治療認定,MeasureReport extension or Task.output with reason,pending-source-discovery,,,,,,,,,,,case manager,pending,,,,,,Manual adjudication requires original value resolved value reason actor and time.,,,,,,,,,,,,,
SRC-CM-TASK-015,CM-TASK-015,quarterly,失聯認定,MeasureReport extension or Task.output with reason,pending-source-discovery,,,,,,,,,,,case manager,pending,,,,,,Manual adjudication requires original value resolved value reason actor and time.,,,,,,,,,,,,,
SRC-CM-TASK-016,CM-TASK-016,quarterly,其它分期明細附註,MeasureReport extension,pending-source-discovery,,,,,,,,,,,case manager,pending,,,,,,Narrative report content remains secondary until its source events are traceable.,,,,,,,,,,,,,
SRC-CM-TASK-020,CM-TASK-020,both,季別與報告期間,MeasureReport.period,pending-source-discovery,,,,,,,,,,,quality management,pending,,,,,,The reporting period requires an approved calendar and cutoff policy.,,,,,,,,,,,,,
SRC-CM-TASK-021,CM-TASK-021,quality,全國/醫學中心/區域醫院平均值,MeasureReport extension,pending-source-discovery,,,,,,,,,,,external benchmark,pending,,,,,,External benchmark requires publication title version year page and checksum.,,,,,,,,,,,,,
SRC-CM-TASK-022,CM-TASK-022,quality,原始檔 SHA-256 與執行時間,Provenance,pending-source-discovery,,,,,,,,,,,quality management,pending,,,,,,This provenance field must be generated from the authoritative extract rather than copied from a report.,,,,,,,,,,,,,
SRC-CM-TASK-023,CM-TASK-023,quarterly,個管師歸屬,MeasureReport.reporter,pending-source-discovery,,,,,,,,,,,case management system,pending,,,,,,Existing report/manual field is not authoritative until its originating system element is approved.,,,,,,,,,,,,,
