tag,label,section,required_marker,source_format,source_rule,always_required,required_when,data_type,max_length,minimum,maximum,allowed_values,multi_select,validation_checks,rule_ids,technical_status,clinical_review_status,review_notes
D009,(新輔助) 遠端轉移部位,新輔助－術前診斷,△,X(30),"填入代碼，可複選 ※「D008」滿足「StageⅣ」才可選擇。 ※ 複選以逗點相隔。 e.g. 1,5,10,11,12 (以半形英文逗號「,」連接數字) 1：遠端淋巴 2：皮膚 3：骨 4：肝 5：肺 6：腦 7：骨髓 8：胸膜 9：腹膜 10：腎上腺 11：對側腋下淋巴 12：其他",False,,code-list,30,,,"1,2,3,4,5,6,7,8,9,10,11,12",True,Big5 encodability | max length 30 | code-list format | allowed value set | cross-field business rules,QBC-D009-STAGE4,implemented,pending,
D010,(新輔助) 遠端轉移部位：其他,新輔助－術前診斷,△,X(200),※「D009」為[12:其他]，此欄位為必填。 內容自訂，文字格式,False,,string,200,,,,False,Big5 encodability | max length 200 | cross-field business rules,QBC-D010-OTHER,implemented,pending,
D011,(新輔助) 術前腋下淋巴檢驗：未檢驗,新輔助－術前診斷,△,X(1),※與術前腋下淋巴檢驗：檢驗方式「D012」擇一填寫 ※ 若此欄位有填寫，則不需填寫「D012」、「D013」 1：未檢驗,False,,code,1,,,1,False,Big5 encodability | max length 1 | allowed value set | cross-field business rules,QBC-D011-D012-XOR,implemented,pending,
D012,(新輔助) 術前腋下淋巴檢驗：檢驗方式,新輔助－術前診斷,△,X(1),※與術前腋下淋巴檢驗：未檢驗「D011」擇一填寫 1：細針穿刺 2：粗針切片,False,,code,1,,,"1,2",False,Big5 encodability | max length 1 | allowed value set | cross-field business rules,QBC-D011-D012-XOR,implemented,pending,
D013,(新輔助) 術前腋下淋巴檢驗：檢驗結果,新輔助－術前診斷,△,X(1),※「D012」有值時，才需填寫。 0：陰性 1：陽性,False,,code,1,,,"0,1",False,Big5 encodability | max length 1 | allowed value set | cross-field business rules,QBC-D013-METHOD,implemented,pending,
D014,(新輔助) ER,新輔助－術前診斷,△,X(1),X：未檢驗 0：陰性 1：陽性,False,,code,1,,,"X,0,1",False,Big5 encodability | max length 1 | allowed value set,,implemented,pending,
D015,(新輔助) ER 數值,新輔助－術前診斷,△,X(3),※「D014」為[1:陽性]時，才需填寫。 填入範圍值：01-100 整數百分比(%),False,,integer,3,1,100,,False,Big5 encodability | max length 3 | integer format | numeric range | cross-field business rules,QBC-D015-ER,implemented,pending,
D016,(新輔助) PR,新輔助－術前診斷,△,X(1),X：未檢驗 0：陰性 1：陽性,False,,code,1,,,"X,0,1",False,Big5 encodability | max length 1 | allowed value set,,implemented,pending,
D017,(新輔助) PR 數值,新輔助－術前診斷,△,X(3),※「D016」為[1:陽性]時，才需填寫。 填入範圍值：01-100 整數百分比(%),False,,integer,3,1,100,,False,Big5 encodability | max length 3 | integer format | numeric range | cross-field business rules,QBC-D017-PR,implemented,pending,
D018,(新輔助) HER2,新輔助－術前診斷,△,X(1),X：未檢驗 0：IHC 0 (negative or score 0) 1：IHC 1+(negative or score 1+) 2：IHC 2+(equivocal or score 2+) 3：IHC 3+(positive or score 3+),False,,code,1,,,"X,0,1,2,3",False,Big5 encodability | max length 1 | allowed value set,,implemented,pending,
D019,(新輔助) HER2 FISH,新輔助－術前診斷,,X(1),※「D018」為[2：IHC 2+(equivocal or score 2+)]時，才需填寫。 0：negative 1：positive,False,,code,1,,,"0,1",False,Big5 encodability | max length 1 | allowed value set | cross-field business rules,QBC-D019-HER2,implemented,pending,
D020,(新輔助) Ki-67,新輔助－術前診斷,△,X(1),0：未檢驗 1：有檢驗,False,,code,1,,,"0,1",False,Big5 encodability | max length 1 | allowed value set,,implemented,pending,
D021,(新輔助) Ki-67 數值,新輔助－術前診斷,△,X(3),※「D020」為[1：有檢驗]時，才需填寫。 填入範圍值：01-100 整數百分比(%),False,,integer,3,1,100,,False,Big5 encodability | max length 3 | integer format | numeric range | cross-field business rules,QBC-D021-KI67,implemented,pending,
D022,(新輔助) BRCA 1/2,新輔助－術前診斷,△,X(1),X：未檢驗 0：無突變 1：有突變,False,,code,1,,,"X,0,1",False,Big5 encodability | max length 1 | allowed value set,,implemented,pending,
D023,(新輔助) PD-L1,新輔助－術前診斷,,X(1),X：未檢驗 0：陰性 1：陽性,False,,code,1,,,"X,0,1",False,Big5 encodability | max length 1 | allowed value set,,implemented,pending,
D024,(術後) 新輔助性治療法之療效,術後病理,△,X(1),※若收案類別「DIAG_TYPE」為[2:新診斷個案-新輔助性治療法]且治療療程「TM02」為[1.治癒性手術]時，必填 0：Non-pCR 1：pCR,False,,code,1,,,"0,1",False,Big5 encodability | max length 1 | allowed value set | cross-field business rules,QBC-D024-NEOADJUVANT-SURGERY,implemented,pending,
D025,(術後) 最初診斷日期,術後病理,△,X(8),※若收案類別「DIAG_TYPE」為[1:新診斷個案-直接治癒性手術]時，必填 ※收案類別「DIAG_TYPE」為[2:新診斷個案-新輔助性治療法]無需填寫 臨床或病理上診斷為癌症的開始日期 固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,False,,date,8,,,,False,Big5 encodability | max length 8 | date format | cross-field business rules,QBC-D025-DIAGTYPE,implemented,pending,
D026,(術後) 最初診斷院所,術後病理,△,X(1),※若收案類別「DIAG_TYPE」為[1:新診斷個案-直接治癒性手術]時，必填 ※收案類別「DIAG_TYPE」為[2:新診斷個案-新輔助性治療法]無需填寫 1：本院 2：他院,False,,code,1,,,"1,2",False,Big5 encodability | max length 1 | allowed value set | cross-field business rules,QBC-D026-DIAGTYPE,implemented,pending,
D027,(術後) 乳房手術,術後病理,△,X(1),0：乳房部分切除手術 (BCS) 1：乳房全切除術 (Mastectomy),False,"TM02=1 AND DIAG_TYPE IN (1,2)",code,1,,,"0,1",False,Big5 encodability | max length 1 | allowed value set | conditional requiredness | cross-field business rules,QBC-TM02-SURGERY-POSTOP-REQUIRED,implemented,pending,
D028,(術後) 手術邊緣,術後病理,△,X(1),0：free 1：involved with DCIS 2：involved with invasive carcinoma,False,"TM02=1 AND DIAG_TYPE IN (1,2)",code,1,,,"0,1,2",False,Big5 encodability | max length 1 | allowed value set | conditional requiredness | cross-field business rules,QBC-TM02-SURGERY-POSTOP-REQUIRED,implemented,pending,
D029,(術後) 腋窩手術,術後病理,△,X(1),0：Nil 1：SLNB 2：SLNB → ALND 3：direct ALND 4：TLND,False,"TM02=1 AND DIAG_TYPE IN (1,2)",code,1,,,"0,1,2,3,4",False,Big5 encodability | max length 1 | allowed value set | conditional requiredness | cross-field business rules,QBC-TM02-SURGERY-POSTOP-REQUIRED,implemented,pending,
D030,(術後) 組織學分類,術後病理,△,X(1),0：No cancer 1：Intraductal ca (DCIS) 2：Invasive cancer with no special type (IDC) 3：Invasive lobular ca (ILC) 4：Mucinous ca 5：Tubular ca 6：Invasive papillary ca 7：Metaplastic carcinoma 8：Others,False,"TM02=1 AND DIAG_TYPE IN (1,2)",code,1,,,"0,1,2,3,4,5,6,7,8",False,Big5 encodability | max length 1 | allowed value set | conditional requiredness | cross-field business rules,QBC-TM02-SURGERY-POSTOP-REQUIRED,implemented,pending,
D031,(術後) 腫瘤組織分級,術後病理,△,X(1),X：無法評估等級(無法確定分級) 1：分化良好(低度惡性) 2：中度分化(中度惡性) 3：分化差(高度惡性),False,"TM02=1 AND DIAG_TYPE IN (1,2)",code,1,,,"X,1,2,3",False,Big5 encodability | max length 1 | allowed value set | conditional requiredness | cross-field business rules,QBC-TM02-SURGERY-POSTOP-REQUIRED,implemented,pending,
D032,(術後) 病理期別T,術後病理,△,X(5),T0：No evidence of primary tumor Tis：(DCIS)*Ductal carcinoma in situ T1：腫瘤小於等於2公分 T2：腫瘤大於2公分，小於等於5公分 T3：腫瘤大於5公分 T4：腫瘤已侵犯至胸壁或是皮膚(潰瘍或結節)，發炎性乳癌 Tx：未知,False,"TM02=1 AND DIAG_TYPE IN (1,2)",code,5,,,"T0,Tis,T1,T2,T3,T4,Tx",False,Big5 encodability | max length 5 | allowed value set | conditional requiredness | cross-field business rules,QBC-TM02-SURGERY-POSTOP-REQUIRED,implemented,pending,
D033,(術後) 病理期別N,術後病理,△,X(5),N0：沒有淋巴結轉移 N1mi：微小轉移(0.2-2mm) N1：同側腋下淋巴結1~3顆有癌細胞轉移 N2：同側腋下淋巴結4~9顆有癌細胞轉移 N3：同側腋下淋巴結大於等於10顆有癌細胞轉移 Nx：未知,False,"TM02=1 AND DIAG_TYPE IN (1,2)",code,5,,,"N0,N1mi,N1,N2,N3,Nx",False,Big5 encodability | max length 5 | allowed value set | conditional requiredness | cross-field business rules,QBC-TM02-SURGERY-POSTOP-REQUIRED,implemented,pending,
D034,(術後) 病理期別M,術後病理,△,X(5),M0：遠端器官沒有癌細胞轉移 M1：遠端器官有癌細胞轉移，例如腦、肝、肺等 Mx：未知,False,"TM02=1 AND DIAG_TYPE IN (1,2)",code,5,,,"M0,M1,Mx",False,Big5 encodability | max length 5 | allowed value set | conditional requiredness | cross-field business rules,QBC-TM02-SURGERY-POSTOP-REQUIRED,implemented,pending,
D035,(術後) 癌症病理分期：TNM 計算結果,術後病理,△,X(40),"預設為空白，由系統自動計算「D032」、「D033」、「D034」三欄英文代號值合併計算結果，若有對應下列的Stage，則由系統代入其對應的Stage，若無任何對應的Stage，則需自行填寫，不能空白。 e.g.「D032」填入[T4]，「D033」填入[N0]，「D034」填入[M0]，合併計算結果為［T4N0M0］，其所對應的Stage為「StageⅢB」，則系統將此欄位值自動代入［StageⅢB］ e.g.「D032」填入[T4]，「D033」填入[Nx]，「D034」填入[M0]，合併計算結果為［T4NxM0］，沒有對應的Stage需由使用者自行填入值StageⅠ~Ⅳ。 ==================== Stage ================= Stage 0：['TisN0M0'] StageⅠA：['T1N0M0'] StageⅠB：['T0N1miM0', 'T1N1miM0'] StageⅡA：['T2N0M0', 'T0N1M0', 'T1N1M0'] StageⅡB：['T3N0M0', 'T2N1M0'] StageⅢA：['T3N1M0', 'T3N2M0', 'T0N2M0', 'T1N2M0', 'T2N2M0'] StageⅢB：['T4N0M0', 'T4N1M0', 'T4N2M0'] StageⅢC：['anyTN3M0'] StageⅣ：['anyTanyNM1'] Stage X：['TxNxMx', 'TxNxM0']",False,"TM02=1 AND DIAG_TYPE IN (1,2)",string,40,,,,False,Big5 encodability | max length 40 | conditional requiredness | cross-field business rules,"QBC-TM02-SURGERY-POSTOP-REQUIRED,QBC-D035-TNM",implemented,pending,
D036,(術後) 遠端轉移部位,術後病理,△,X(30),"※「D035」滿足[StageⅣ]才需填寫。 填入代碼，可複選 e.g. 1,5,10,11,12 (以半形英文逗號「,」連接數字) 1：遠端淋巴 2：皮膚 3：骨 4：肝 5：肺 6：腦 7：骨髓 8：胸膜 9：腹膜 10：腎上腺 11：對側腋下淋巴 12：其他",False,TM02=1 AND D035=StageⅣ,code-list,30,,,"1,2,3,4,5,6,7,8,9,10,11,12",True,Big5 encodability | max length 30 | code-list format | allowed value set | conditional requiredness | cross-field business rules,QBC-D036-STAGE4,implemented,pending,
D037,(術後) 遠端轉移部位：其他,術後病理,△,X(200),※「D036」為[12：其他]，此欄位為必填。 內容自訂，文字格式,False,TM02=1 AND D036 CONTAINS 12,string,200,,,,False,Big5 encodability | max length 200 | conditional requiredness | cross-field business rules,QBC-D037-OTHER,implemented,pending,
D038,(術後) 哨兵淋巴結,術後病理,△,X(1),X：未檢驗 0：陰性 1：陽性,False,"TM02=1 AND DIAG_TYPE IN (1,2)",code,1,,,"X,0,1",False,Big5 encodability | max length 1 | allowed value set | conditional requiredness | cross-field business rules,QBC-TM02-SURGERY-POSTOP-REQUIRED,implemented,pending,
D039,(術後) 哨兵淋巴結：陽性顆數,術後病理,△,X(2),※「D038」為[1.陽性]時，必填。 填入範圍值：1-99,False,TM02=1 AND D038=1,integer,2,1,99,,False,Big5 encodability | max length 2 | integer format | numeric range | conditional requiredness | cross-field business rules,QBC-D039-SENTINEL,implemented,pending,
D040,(術後) 哨兵淋巴結：哨兵淋巴結顆數,術後病理,△,X(2),※「D038」為[0：陰性]或[1：陽性]時，必填。 填入範圍值：1-99,False,"TM02=1 AND D038 IN (0,1)",integer,2,1,99,,False,Big5 encodability | max length 2 | integer format | numeric range | conditional requiredness | cross-field business rules,QBC-D040-SENTINEL,implemented,pending,
D041,(術後) 腋下淋巴結,術後病理,△,X(1),X：未檢驗 0：陰性 1：陽性,False,"TM02=1 AND DIAG_TYPE IN (1,2)",code,1,,,"X,0,1",False,Big5 encodability | max length 1 | allowed value set | conditional requiredness | cross-field business rules,QBC-TM02-SURGERY-POSTOP-REQUIRED,implemented,pending,
D042,(術後) 腋下淋巴結：陽性顆數,術後病理,△,X(2),※「D041」為[1：陽性]時，必填。 填入範圍值：1-99,False,TM02=1 AND D041=1,integer,2,1,99,,False,Big5 encodability | max length 2 | integer format | numeric range | conditional requiredness | cross-field business rules,QBC-D042-AXILLARY,implemented,pending,
D043,(術後) 腋下淋巴結：腋下淋巴結顆數,術後病理,△,X(2),※「D041」為[0.陰性]或[1.陽性]時，必填。 填入範圍值：1-99,False,"TM02=1 AND D041 IN (0,1)",integer,2,1,99,,False,Big5 encodability | max length 2 | integer format | numeric range | conditional requiredness | cross-field business rules,QBC-D043-AXILLARY,implemented,pending,
D044,(術後) 淋巴結陽性數量,術後病理,△,X(1),※「D038」、「D041」任一項滿足[1：陽性]，需填寫此欄位。 0：無 1：有,False,"TM02=1 AND DIAG_TYPE IN (1,2)",code,1,,,"0,1",False,Big5 encodability | max length 1 | allowed value set | conditional requiredness | cross-field business rules,"QBC-TM02-SURGERY-POSTOP-REQUIRED,QBC-D044-NODE",implemented,pending,
D045,(術後) 淋巴結陽性數量：Micro-Metastasis 顆數,術後病理,△,X(2),※「D044」為[1：有]時，「D045」與「D046」至少填一項。 填入範圍值：0-99,False,"TM02=1 AND D044=1 (AT LEAST ONE OF D045,D046)",integer,2,0,99,,False,Big5 encodability | max length 2 | integer format | numeric range | conditional requiredness | cross-field business rules,QBC-D045-D046-ONE,implemented,pending,
D046,(術後) 淋巴結陽性數量：Macro-Metastasis 顆數,術後病理,△,X(2),※「D044」為「1：有]」時，「D045」與「D046」至少填一項。 填入範圍值：0-99,False,"TM02=1 AND D044=1 (AT LEAST ONE OF D045,D046)",integer,2,0,99,,False,Big5 encodability | max length 2 | integer format | numeric range | conditional requiredness | cross-field business rules,QBC-D045-D046-ONE,implemented,pending,
D047,(術後) 手術時顯微鏡下腫瘤大小,術後病理,△,X(5),填入範圍值：0.00-99.99,False,"TM02=1 AND DIAG_TYPE IN (1,2)",decimal,5,0,99.99,,False,Big5 encodability | max length 5 | decimal format | numeric range | conditional requiredness | cross-field business rules,QBC-TM02-SURGERY-POSTOP-REQUIRED,implemented,pending,
D048,(術後) ER,術後病理,△,X(1),X：未檢驗 0：陰性 1：陽性,False,"TM02=1 AND DIAG_TYPE IN (1,2)",code,1,,,"X,0,1",False,Big5 encodability | max length 1 | allowed value set | conditional requiredness | cross-field business rules,QBC-TM02-SURGERY-POSTOP-REQUIRED,implemented,pending,
D049,(術後) ER 數值,術後病理,△,X(3),※(術後) ER「D048」為[1：陽性]時，才需填寫。 填入範圍值：01-100 整數百分比(%),False,TM02=1 AND D048=1,integer,3,1,100,,False,Big5 encodability | max length 3 | integer format | numeric range | conditional requiredness | cross-field business rules,QBC-D049-ER,implemented,pending,
D050,(術後) PR,術後病理,△,X(1),X：未檢驗 0：陰性 1：陽性,False,"TM02=1 AND DIAG_TYPE IN (1,2)",code,1,,,"X,0,1",False,Big5 encodability | max length 1 | allowed value set | conditional requiredness | cross-field business rules,QBC-TM02-SURGERY-POSTOP-REQUIRED,implemented,pending,
D051,(術後) PR 數值,術後病理,△,X(3),※「D050」為[1：陽性]時，才需填寫。 填入範圍值：01-100 整數百分比(%),False,TM02=1 AND D050=1,integer,3,1,100,,False,Big5 encodability | max length 3 | integer format | numeric range | conditional requiredness | cross-field business rules,QBC-D051-PR,implemented,pending,
D052,(術後) HER2,術後病理,△,X(1),X：未檢驗 0：IHC 0 (negative or score 0) 1：IHC 1+(negative or score 1+) 2：IHC 2+(equivocal or score 2+) 3：IHC 3+(positive or score 3+),False,"TM02=1 AND DIAG_TYPE IN (1,2)",code,1,,,"X,0,1,2,3",False,Big5 encodability | max length 1 | allowed value set | conditional requiredness | cross-field business rules,QBC-TM02-SURGERY-POSTOP-REQUIRED,implemented,pending,
D053,(術後) HER2：FISH,術後病理,,X(1),※「D052」為[2：IHC 2+(equivocal or score 2+)]時，才需填寫。 0：negative 1：positive,False,TM02=1 AND D052=2,code,1,,,"0,1",False,Big5 encodability | max length 1 | allowed value set | conditional requiredness | cross-field business rules,QBC-D053-HER2,implemented,pending,
D054,(術後) Ki-67,術後病理,△,X(1),0：未檢驗 1：有檢驗,False,"TM02=1 AND DIAG_TYPE IN (1,2)",code,1,,,"0,1",False,Big5 encodability | max length 1 | allowed value set | conditional requiredness | cross-field business rules,QBC-TM02-SURGERY-POSTOP-REQUIRED,implemented,pending,
D055,(術後) Ki-67 數值,術後病理,△,X(3),※ 「D054」為[1：有檢驗]時，才需填寫。 填入範圍值：01-100 整數百分比(%),False,TM02=1 AND D054=1,integer,3,1,100,,False,Big5 encodability | max length 3 | integer format | numeric range | conditional requiredness | cross-field business rules,QBC-D055-KI67,implemented,pending,
D056,(術後) BRCA 1/2,術後病理,△,X(1),X：未檢驗 0：無突變 1：有突變,False,"TM02=1 AND DIAG_TYPE IN (1,2)",code,1,,,"X,0,1",False,Big5 encodability | max length 1 | allowed value set | conditional requiredness | cross-field business rules,QBC-TM02-SURGERY-POSTOP-REQUIRED,implemented,pending,
D057,(術後) PD-L1,術後病理,,X(1),X：未檢驗 0：陰性 1：陽性,False,"TM02=1 AND DIAG_TYPE IN (1,2)",code,1,,,"X,0,1",False,Big5 encodability | max length 1 | allowed value set | conditional requiredness | cross-field business rules,QBC-TM02-SURGERY-POSTOP-REQUIRED,implemented,pending,
D058,(復發) 診斷日期,復發／de novo mBC,△,X(8),固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,False,DIAG_TYPE=3,date,8,,,,False,Big5 encodability | max length 8 | date format | conditional requiredness | cross-field business rules,QBC-DIAGTYPE3-RECURRENCE-REQUIRED,implemented,pending,
D059,(復發) 診斷院所,復發／de novo mBC,△,X(1),1：本院 2：他院,False,DIAG_TYPE=3,code,1,,,"1,2",False,Big5 encodability | max length 1 | allowed value set | conditional requiredness | cross-field business rules,QBC-DIAGTYPE3-RECURRENCE-REQUIRED,implemented,pending,
D060,(復發) 臨床期別 T,復發／de novo mBC,△,X(5),T0：No evidence of primary tumor Tis：(DCIS)*Ductal carcinoma in situ T1：腫瘤小於等於2公分 T2：腫瘤大於2公分，小於等於5公分 T3：腫瘤大於5公分 T4：腫瘤已侵犯至胸壁或是皮膚(潰瘍或結節)，發炎性乳癌 Tx：未知,False,DIAG_TYPE=3,code,5,,,"T0,Tis,T1,T2,T3,T4,Tx",False,Big5 encodability | max length 5 | allowed value set | conditional requiredness | cross-field business rules,QBC-DIAGTYPE3-RECURRENCE-REQUIRED,implemented,pending,
D061,(復發) 臨床期別 N,復發／de novo mBC,△,X(5),N0：無區域淋巴結轉移（影像學或臨床檢查） N1mi：微小轉移(0.2-2mm) N1：轉移至同側可移動的 I、II 區腋窩淋巴結 N2：轉移至同側 I、II 區腋窩淋巴結，臨床表現為固定或融合；或轉移至同側內乳淋巴結，但無腋窩淋巴結轉移 N3：轉移至同側鎖骨下（III 區腋窩）淋巴結，伴或不伴 I、II 區腋窩淋巴結受累；或轉移至同側內乳淋巴結，伴隨 I、II 區腋窩淋巴結轉移；或同側鎖骨上淋巴結轉移，伴隨或不伴隨腋窩或內乳淋巴結受累 Nx：未知,False,DIAG_TYPE=3,code,5,,,"N0,N1mi,N1,N2,N3,Nx",False,Big5 encodability | max length 5 | allowed value set | conditional requiredness | cross-field business rules,QBC-DIAGTYPE3-RECURRENCE-REQUIRED,implemented,pending,
D062,(復發) 臨床期別 M,復發／de novo mBC,△,X(5),M0：遠端器官沒有癌細胞轉移 M1：遠端器官有癌細胞轉移，例如腦、肝、肺等 Mx：未知,False,DIAG_TYPE=3,code,5,,,"M0,M1,Mx",False,Big5 encodability | max length 5 | allowed value set | conditional requiredness | cross-field business rules,QBC-DIAGTYPE3-RECURRENCE-REQUIRED,implemented,pending,
