tag,label,source_rule,required_when,validation_checks,rule_id,implementation,automated_test,technical_status,clinical_review_status
D001,(新輔助) 最初診斷日期,若收案類別「DIAG_TYPE」為「2」時必填 臨床或病理上診斷為癌症的開始日期 固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,,Big5 encodability | max length 8 | date format | cross-field business rules,QBC-ENCODING-BIG5,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D001,(新輔助) 最初診斷日期,若收案類別「DIAG_TYPE」為「2」時必填 臨床或病理上診斷為癌症的開始日期 固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,,Big5 encodability | max length 8 | date format | cross-field business rules,QBC-FORMAT-LENGTH,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D001,(新輔助) 最初診斷日期,若收案類別「DIAG_TYPE」為「2」時必填 臨床或病理上診斷為癌症的開始日期 固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,,Big5 encodability | max length 8 | date format | cross-field business rules,QBC-FORMAT-DATE,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D001,(新輔助) 最初診斷日期,若收案類別「DIAG_TYPE」為「2」時必填 臨床或病理上診斷為癌症的開始日期 固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,,Big5 encodability | max length 8 | date format | cross-field business rules,QBC-D001-DIAGTYPE,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D002,(新輔助) 最初診斷院所,1：本院 2：他院,,Big5 encodability | max length 1 | allowed value set,QBC-ENCODING-BIG5,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D002,(新輔助) 最初診斷院所,1：本院 2：他院,,Big5 encodability | max length 1 | allowed value set,QBC-FORMAT-LENGTH,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D002,(新輔助) 最初診斷院所,1：本院 2：他院,,Big5 encodability | max length 1 | allowed value set,QBC-FORMAT-CODE,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D002,(新輔助) 最初診斷院所,1：本院 2：他院,,Big5 encodability | max length 1 | allowed value set,QBC-VALUESET,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D003,(新輔助) 組織學分類,0：No cancer 1：Intraductal ca (DCIS) 2：Invasive cancer with no special type (IDC) 3：Invasive lobular ca (ILC) 4：Mucinous ca 5：Tubular ca 6：Invasive papillary ca 7：Metaplastic carcinoma 8：Others,,Big5 encodability | max length 1 | allowed value set,QBC-ENCODING-BIG5,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D003,(新輔助) 組織學分類,0：No cancer 1：Intraductal ca (DCIS) 2：Invasive cancer with no special type (IDC) 3：Invasive lobular ca (ILC) 4：Mucinous ca 5：Tubular ca 6：Invasive papillary ca 7：Metaplastic carcinoma 8：Others,,Big5 encodability | max length 1 | allowed value set,QBC-FORMAT-LENGTH,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D003,(新輔助) 組織學分類,0：No cancer 1：Intraductal ca (DCIS) 2：Invasive cancer with no special type (IDC) 3：Invasive lobular ca (ILC) 4：Mucinous ca 5：Tubular ca 6：Invasive papillary ca 7：Metaplastic carcinoma 8：Others,,Big5 encodability | max length 1 | allowed value set,QBC-FORMAT-CODE,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D003,(新輔助) 組織學分類,0：No cancer 1：Intraductal ca (DCIS) 2：Invasive cancer with no special type (IDC) 3：Invasive lobular ca (ILC) 4：Mucinous ca 5：Tubular ca 6：Invasive papillary ca 7：Metaplastic carcinoma 8：Others,,Big5 encodability | max length 1 | allowed value set,QBC-VALUESET,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D004,(新輔助) 腫瘤組織分級,※若(新輔助) 組織學分類「D003」為「0、1」，不需填寫。 X：無法評估等級(無法確定分級) 1：分化良好(低度惡性) 2：中度分化(中度惡性) 3：分化差(高度惡性),,Big5 encodability | max length 1 | allowed value set | cross-field business rules,QBC-ENCODING-BIG5,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D004,(新輔助) 腫瘤組織分級,※若(新輔助) 組織學分類「D003」為「0、1」，不需填寫。 X：無法評估等級(無法確定分級) 1：分化良好(低度惡性) 2：中度分化(中度惡性) 3：分化差(高度惡性),,Big5 encodability | max length 1 | allowed value set | cross-field business rules,QBC-FORMAT-LENGTH,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D004,(新輔助) 腫瘤組織分級,※若(新輔助) 組織學分類「D003」為「0、1」，不需填寫。 X：無法評估等級(無法確定分級) 1：分化良好(低度惡性) 2：中度分化(中度惡性) 3：分化差(高度惡性),,Big5 encodability | max length 1 | allowed value set | cross-field business rules,QBC-FORMAT-CODE,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D004,(新輔助) 腫瘤組織分級,※若(新輔助) 組織學分類「D003」為「0、1」，不需填寫。 X：無法評估等級(無法確定分級) 1：分化良好(低度惡性) 2：中度分化(中度惡性) 3：分化差(高度惡性),,Big5 encodability | max length 1 | allowed value set | cross-field business rules,QBC-VALUESET,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D004,(新輔助) 腫瘤組織分級,※若(新輔助) 組織學分類「D003」為「0、1」，不需填寫。 X：無法評估等級(無法確定分級) 1：分化良好(低度惡性) 2：中度分化(中度惡性) 3：分化差(高度惡性),,Big5 encodability | max length 1 | allowed value set | cross-field business rules,QBC-D004-HISTOLOGY,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D005,(新輔助) 臨床期別 T,T0：No evidence of primary tumor Tis：(DCIS)*Ductal carcinoma in situ T1：腫瘤小於等於2公分 T2：腫瘤大於2公分，小於等於5公分 T3：腫瘤大於5公分 T4：腫瘤已侵犯至胸壁或是皮膚(潰瘍或結節)，發炎性乳癌 Tx：未知,,Big5 encodability | max length 5 | allowed value set,QBC-ENCODING-BIG5,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D005,(新輔助) 臨床期別 T,T0：No evidence of primary tumor Tis：(DCIS)*Ductal carcinoma in situ T1：腫瘤小於等於2公分 T2：腫瘤大於2公分，小於等於5公分 T3：腫瘤大於5公分 T4：腫瘤已侵犯至胸壁或是皮膚(潰瘍或結節)，發炎性乳癌 Tx：未知,,Big5 encodability | max length 5 | allowed value set,QBC-FORMAT-LENGTH,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D005,(新輔助) 臨床期別 T,T0：No evidence of primary tumor Tis：(DCIS)*Ductal carcinoma in situ T1：腫瘤小於等於2公分 T2：腫瘤大於2公分，小於等於5公分 T3：腫瘤大於5公分 T4：腫瘤已侵犯至胸壁或是皮膚(潰瘍或結節)，發炎性乳癌 Tx：未知,,Big5 encodability | max length 5 | allowed value set,QBC-FORMAT-CODE,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D005,(新輔助) 臨床期別 T,T0：No evidence of primary tumor Tis：(DCIS)*Ductal carcinoma in situ T1：腫瘤小於等於2公分 T2：腫瘤大於2公分，小於等於5公分 T3：腫瘤大於5公分 T4：腫瘤已侵犯至胸壁或是皮膚(潰瘍或結節)，發炎性乳癌 Tx：未知,,Big5 encodability | max length 5 | allowed value set,QBC-VALUESET,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D006,(新輔助) 臨床期別 N,N0：無區域淋巴結轉移（影像學或臨床檢查） N1mi：微小轉移(0.2-2mm) N1：轉移至同側可移動的 I、II 區腋窩淋巴結 N2：轉移至同側 I、II 區腋窩淋巴結，臨床表現為固定或 融合；或轉移至同側內乳淋巴結，但無腋窩淋巴結轉移 N3：轉移至同側鎖骨下（III 區腋窩）淋巴結，伴或不伴 I、II 區腋窩淋巴結受累；或轉移至同側內乳淋巴結， 伴隨 I、II 區腋窩淋巴結轉移；或同側鎖骨上淋巴結 轉移，伴隨或不伴隨腋窩或內乳淋巴結受累 Nx：未知,,Big5 encodability | max length 5 | allowed value set,QBC-ENCODING-BIG5,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D006,(新輔助) 臨床期別 N,N0：無區域淋巴結轉移（影像學或臨床檢查） N1mi：微小轉移(0.2-2mm) N1：轉移至同側可移動的 I、II 區腋窩淋巴結 N2：轉移至同側 I、II 區腋窩淋巴結，臨床表現為固定或 融合；或轉移至同側內乳淋巴結，但無腋窩淋巴結轉移 N3：轉移至同側鎖骨下（III 區腋窩）淋巴結，伴或不伴 I、II 區腋窩淋巴結受累；或轉移至同側內乳淋巴結， 伴隨 I、II 區腋窩淋巴結轉移；或同側鎖骨上淋巴結 轉移，伴隨或不伴隨腋窩或內乳淋巴結受累 Nx：未知,,Big5 encodability | max length 5 | allowed value set,QBC-FORMAT-LENGTH,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D006,(新輔助) 臨床期別 N,N0：無區域淋巴結轉移（影像學或臨床檢查） N1mi：微小轉移(0.2-2mm) N1：轉移至同側可移動的 I、II 區腋窩淋巴結 N2：轉移至同側 I、II 區腋窩淋巴結，臨床表現為固定或 融合；或轉移至同側內乳淋巴結，但無腋窩淋巴結轉移 N3：轉移至同側鎖骨下（III 區腋窩）淋巴結，伴或不伴 I、II 區腋窩淋巴結受累；或轉移至同側內乳淋巴結， 伴隨 I、II 區腋窩淋巴結轉移；或同側鎖骨上淋巴結 轉移，伴隨或不伴隨腋窩或內乳淋巴結受累 Nx：未知,,Big5 encodability | max length 5 | allowed value set,QBC-FORMAT-CODE,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D006,(新輔助) 臨床期別 N,N0：無區域淋巴結轉移（影像學或臨床檢查） N1mi：微小轉移(0.2-2mm) N1：轉移至同側可移動的 I、II 區腋窩淋巴結 N2：轉移至同側 I、II 區腋窩淋巴結，臨床表現為固定或 融合；或轉移至同側內乳淋巴結，但無腋窩淋巴結轉移 N3：轉移至同側鎖骨下（III 區腋窩）淋巴結，伴或不伴 I、II 區腋窩淋巴結受累；或轉移至同側內乳淋巴結， 伴隨 I、II 區腋窩淋巴結轉移；或同側鎖骨上淋巴結 轉移，伴隨或不伴隨腋窩或內乳淋巴結受累 Nx：未知,,Big5 encodability | max length 5 | allowed value set,QBC-VALUESET,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D007,(新輔助) 臨床期別 M,M0：遠端器官沒有癌細胞轉移 M1：遠端器官有癌細胞轉移，例如腦、肝、肺等 Mx：未知,,Big5 encodability | max length 5 | allowed value set,QBC-ENCODING-BIG5,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D007,(新輔助) 臨床期別 M,M0：遠端器官沒有癌細胞轉移 M1：遠端器官有癌細胞轉移，例如腦、肝、肺等 Mx：未知,,Big5 encodability | max length 5 | allowed value set,QBC-FORMAT-LENGTH,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D007,(新輔助) 臨床期別 M,M0：遠端器官沒有癌細胞轉移 M1：遠端器官有癌細胞轉移，例如腦、肝、肺等 Mx：未知,,Big5 encodability | max length 5 | allowed value set,QBC-FORMAT-CODE,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D007,(新輔助) 臨床期別 M,M0：遠端器官沒有癌細胞轉移 M1：遠端器官有癌細胞轉移，例如腦、肝、肺等 Mx：未知,,Big5 encodability | max length 5 | allowed value set,QBC-VALUESET,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D008,(新輔助) 癌症臨床分期：TNM 計算結果,"預設為空白，由系統自動計算「D005」、「D006」、「D007」三欄英文代號值合併結果，若有對應下列的Stage，則由系統代入其對應的Stage，若無任何對應的Stage，則需自行填寫，不能空白。 e.g.「D005」填入[T4]，「D006」填入[N0]，「D007」填入[M0]，合併計算結果為［T4N0M0］，其所對應的Stage為「StageⅢB」，則系統將此欄位值自動代入［StageⅢB］ e.g.「D005」填入[T4]，「D006」填入[Nx]，「D007」填入[M0]，合併計算結果為［T4NxM0］，沒有對應的Stage則需由使用者自行填入值StageⅠ~Ⅳ。 ==================== Stage ================= Stage 0： ['TisN0M0'] StageⅠA： ['T1N0M0'] StageⅠB： ['T0N1miM0', 'T1N1miM0'] StageⅡA： ['T2N0M0', 'T0N1M0', 'T1N1M0'] StageⅡB： ['T3N0M0', 'T2N1M0'] StageⅢA： ['T3N1M0', 'T3N2M0', 'T0N2M0', 'T1N2M0', 'T2N2M0'] StageⅢB： ['T4N0M0', 'T4N1M0', 'T4N2M0'] StageⅢC： ['anyTN3M0'] StageⅣ： ['anyTanyNM1'] Stage X： ['TxNxMx', 'TxNxM0']",,Big5 encodability | max length 20 | cross-field business rules,QBC-ENCODING-BIG5,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D008,(新輔助) 癌症臨床分期：TNM 計算結果,"預設為空白，由系統自動計算「D005」、「D006」、「D007」三欄英文代號值合併結果，若有對應下列的Stage，則由系統代入其對應的Stage，若無任何對應的Stage，則需自行填寫，不能空白。 e.g.「D005」填入[T4]，「D006」填入[N0]，「D007」填入[M0]，合併計算結果為［T4N0M0］，其所對應的Stage為「StageⅢB」，則系統將此欄位值自動代入［StageⅢB］ e.g.「D005」填入[T4]，「D006」填入[Nx]，「D007」填入[M0]，合併計算結果為［T4NxM0］，沒有對應的Stage則需由使用者自行填入值StageⅠ~Ⅳ。 ==================== Stage ================= Stage 0： ['TisN0M0'] StageⅠA： ['T1N0M0'] StageⅠB： ['T0N1miM0', 'T1N1miM0'] StageⅡA： ['T2N0M0', 'T0N1M0', 'T1N1M0'] StageⅡB： ['T3N0M0', 'T2N1M0'] StageⅢA： ['T3N1M0', 'T3N2M0', 'T0N2M0', 'T1N2M0', 'T2N2M0'] StageⅢB： ['T4N0M0', 'T4N1M0', 'T4N2M0'] StageⅢC： ['anyTN3M0'] StageⅣ： ['anyTanyNM1'] Stage X： ['TxNxMx', 'TxNxM0']",,Big5 encodability | max length 20 | cross-field business rules,QBC-FORMAT-LENGTH,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D008,(新輔助) 癌症臨床分期：TNM 計算結果,"預設為空白，由系統自動計算「D005」、「D006」、「D007」三欄英文代號值合併結果，若有對應下列的Stage，則由系統代入其對應的Stage，若無任何對應的Stage，則需自行填寫，不能空白。 e.g.「D005」填入[T4]，「D006」填入[N0]，「D007」填入[M0]，合併計算結果為［T4N0M0］，其所對應的Stage為「StageⅢB」，則系統將此欄位值自動代入［StageⅢB］ e.g.「D005」填入[T4]，「D006」填入[Nx]，「D007」填入[M0]，合併計算結果為［T4NxM0］，沒有對應的Stage則需由使用者自行填入值StageⅠ~Ⅳ。 ==================== Stage ================= Stage 0： ['TisN0M0'] StageⅠA： ['T1N0M0'] StageⅠB： ['T0N1miM0', 'T1N1miM0'] StageⅡA： ['T2N0M0', 'T0N1M0', 'T1N1M0'] StageⅡB： ['T3N0M0', 'T2N1M0'] StageⅢA： ['T3N1M0', 'T3N2M0', 'T0N2M0', 'T1N2M0', 'T2N2M0'] StageⅢB： ['T4N0M0', 'T4N1M0', 'T4N2M0'] StageⅢC： ['anyTN3M0'] StageⅣ： ['anyTanyNM1'] Stage X： ['TxNxMx', 'TxNxM0']",,Big5 encodability | max length 20 | cross-field business rules,QBC-D008-TNM,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
D009,(新輔助) 遠端轉移部位,"填入代碼，可複選 ※「D008」滿足「StageⅣ」才可選擇。 ※ 複選以逗點相隔。 e.g. 1,5,10,11,12 (以半形英文逗號「,」連接數字) 1：遠端淋巴 2：皮膚 3：骨 4：肝 5：肺 6：腦 7：骨髓 8：胸膜 9：腹膜 10：腎上腺 11：對側腋下淋巴 12：其他",,Big5 encodability | max length 30 | code-list format | allowed value set | cross-field business rules,QBC-ENCODING-BIG5,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
